,all_locations,location_object,lat_long,quality,api_address
244,W 118th St And S Western Ave,"<[OK] Bing - Geocode [W 118th St & S Western Ave, Chicago, IL 60655]>","[41.679109, -87.680833]",RoadIntersection,"W 118th St & S Western Ave, Chicago, IL 60655"
245,E 96th St And S Luella Ave,"<[OK] Bing - Geocode [E 96th St & S Luella Ave, Chicago, IL 60617]>","[41.721317, -87.568916]",RoadIntersection,"E 96th St & S Luella Ave, Chicago, IL 60617"
246,E 97th St And S Crandon Ave,"<[OK] Bing - Geocode [E 97th St & S Crandon Ave, Chicago, IL 60617]>","[41.718649, -87.567153]",RoadIntersection,"E 97th St & S Crandon Ave, Chicago, IL 60617"
247,E 98th St And S Oglesby Ave,"<[OK] Bing - Geocode [E 98th St & S Oglesby Ave, Chicago, IL 60617]>","[41.716083, -87.56606]",RoadIntersection,"E 98th St & S Oglesby Ave, Chicago, IL 60617"
248,S Oglesby Ave And E 98th St,"<[OK] Bing - Geocode [S Oglesby Ave & E 98th St, Chicago, IL 60617]>","[41.716083, -87.56606]",RoadIntersection,"S Oglesby Ave & E 98th St, Chicago, IL 60617"
249,E 97th St And S Oglesby Ave,"<[OK] Bing - Geocode [E 97th St & S Oglesby Ave, Chicago, IL 60617]>","[41.718447, -87.566339]",RoadIntersection,"E 97th St & S Oglesby Ave, Chicago, IL 60617"
250,S Luella Ave And E 97th St,"<[OK] Bing - Geocode [S Luella Ave & E 97th St, Chicago, IL 60617]>","[41.718431, -87.569318]",RoadIntersection,"S Luella Ave & E 97th St, Chicago, IL 60617"
251,S Oglesby Ave And E 99th St,"<[OK] Bing - Geocode [S Oglesby Ave & E 99th St, Chicago, IL 60617]>","[41.71532, -87.565831]",RoadIntersection,"S Oglesby Ave & E 99th St, Chicago, IL 60617"
252,N Kimball Ave And W Peterson Ave,"<[OK] Bing - Geocode [N Kimball Ave, Chicago, IL 60659]>","[41.9943288000002, -87.714057850005]",RoadBlock,"N Kimball Ave, Chicago, IL 60659"
253,W Granville Ave And N Ridgeway Ave,"<[OK] Bing - Geocode [W Granville Ave & N Ridgeway Ave, Chicago, IL 60659]>","[41.9937239, -87.7226875]",RoadIntersection,"W Granville Ave & N Ridgeway Ave, Chicago, IL 60659"
254,N Lawndale Ave And W Peterson Ave,"<[OK] Bing - Geocode [N Lawndale Ave & W Peterson Ave, Chicago, IL 60659]>","[41.9902878, -87.7213639]",RoadIntersection,"N Lawndale Ave & W Peterson Ave, Chicago, IL 60659"
255,W Peterson Ave And N North Shore Channel,"<[OK] Bing - Geocode [Chicago, IL]>","[41.88322830200195, -87.63240051269531]",PopulatedPlace,"Chicago, IL"
256,S Leavitt St And W 101st St,"<[OK] Bing - Geocode [S Leavitt St & W 101st St, Chicago, IL 60643]>","[41.7100922, -87.6768799]",RoadIntersection,"S Leavitt St & W 101st St, Chicago, IL 60643"
257,W 101st St And S Hoyne Ave,"<[OK] Bing - Geocode [W 101st St & S Hoyne Ave, Chicago, IL 60643]>","[41.7101522, -87.6744814]",RoadIntersection,"W 101st St & S Hoyne Ave, Chicago, IL 60643"
258,S Seeley Ave And W 101st Pl,"<[OK] Bing - Geocode [S Seeley Ave & W 101st Pl, Chicago, IL 60643]>","[41.7090229, -87.6737223]",RoadIntersection,"S Seeley Ave & W 101st Pl, Chicago, IL 60643"
259,W 101st St And S Damen Ave,"<[OK] Bing - Geocode [W 101st St & S Damen Ave, Chicago, IL 60643]>","[41.710202, -87.6720715]",RoadIntersection,"W 101st St & S Damen Ave, Chicago, IL 60643"
260,S Damen Ave And W 100th St,"<[OK] Bing - Geocode [S Damen Ave & W 100th St, Chicago, IL 60643]>","[41.7120138, -87.6721251]",RoadIntersection,"S Damen Ave & W 100th St, Chicago, IL 60643"
261,E 95th St And S Cottage Grove Ave,"<[OK] Bing - Geocode [E 95th St & S Cottage Grove Ave, Chicago, IL 60619]>","[41.722098, -87.603234]",RoadIntersection,"E 95th St & S Cottage Grove Ave, Chicago, IL 60619"
262,E 75th St And S Langley Ave,"<[OK] Bing - Geocode [E 75th St & S Langley Ave, Chicago, IL 60619]>","[41.758519, -87.607855]",RoadIntersection,"E 75th St & S Langley Ave, Chicago, IL 60619"
263,S Evans Ave And E 74th St,"<[OK] Bing - Geocode [S Evans Ave & E 74th St, Chicago, IL 60619]>","[41.760365, -87.606687]",RoadIntersection,"S Evans Ave & E 74th St, Chicago, IL 60619"
264,E 75th St And S Rhodes Ave,"<[OK] Bing - Geocode [E 75th St & S Rhodes Ave, Chicago, IL 60619]>","[41.758454, -87.611489]",RoadIntersection,"E 75th St & S Rhodes Ave, Chicago, IL 60619"
265,E 96th St And S Avalon Ave,"<[OK] Bing - Geocode [E 96th St & S Avalon Ave, Chicago, IL 60628]>","[41.720361, -87.593497]",RoadIntersection,"E 96th St & S Avalon Ave, Chicago, IL 60628"
266,S Avalon Ave And E 97th St,"<[OK] Bing - Geocode [S Avalon Ave & E 97th St, Chicago, IL 60628]>","[41.718661, -87.593441]",RoadIntersection,"S Avalon Ave & E 97th St, Chicago, IL 60628"
267,E 97th St And S Dobson Ave,"<[OK] Bing - Geocode [E 97th St & S Dobson Ave, Chicago, IL 60628]>","[41.718789, -87.598287]",RoadIntersection,"E 97th St & S Dobson Ave, Chicago, IL 60628"
268,S Woodlawn Ave And E 97th St,"<[OK] Bing - Geocode [S Woodlawn Ave & E 97th St, Chicago, IL 60628]>","[41.718837, -87.594684]",RoadIntersection,"S Woodlawn Ave & E 97th St, Chicago, IL 60628"
269,E 92nd St And S Anthony Ave,"<[OK] Bing - Geocode [E 92nd St & S Anthony Ave, Chicago, IL 60617]>","[41.728186, -87.556381]",RoadIntersection,"E 92nd St & S Anthony Ave, Chicago, IL 60617"
270,E 92nd St And S Saginaw Ave,"<[OK] Bing - Geocode [E 92nd St & S Saginaw Ave, Chicago, IL 60617]>","[41.72812, -87.559512]",RoadIntersection,"E 92nd St & S Saginaw Ave, Chicago, IL 60617"
271,E 95th Pl And S Calhoun Ave,"<[OK] Bing - Geocode [E 95th Pl & S Calhoun Ave, Chicago, IL 60617]>","[41.721601, -87.562428]",RoadIntersection,"E 95th Pl & S Calhoun Ave, Chicago, IL 60617"
272,2400 E 95th St,"<[OK] Bing - Geocode [2400 E 95th St, Chicago, IL 60617]>","[41.722266, -87.564102]",Address,"2400 E 95th St, Chicago, IL 60617"
273,E 80th St And S Jeffery Blvd,"<[OK] Bing - Geocode [E 80th St & S Jeffery Blvd, Chicago, IL 60617]>","[41.749793, -87.575957]",RoadIntersection,"E 80th St & S Jeffery Blvd, Chicago, IL 60617"
274,E 82nd St And S Chappel Ave,"<[OK] Bing - Geocode [E 82nd St & S Chappel Ave, Chicago, IL 60617]>","[41.746173, -87.574639]",RoadIntersection,"E 82nd St & S Chappel Ave, Chicago, IL 60617"
275,S Jeffery Blvd And E 79th St,"<[OK] Bing - Geocode [S Jeffery Blvd & E 79th St, Chicago, IL 60649]>","[41.751608, -87.575975]",RoadIntersection,"S Jeffery Blvd & E 79th St, Chicago, IL 60649"
276,E 82nd St And S Euclid Ave,"<[OK] Bing - Geocode [E 82nd St & S Euclid Ave, Chicago, IL 60617]>","[41.746133, -87.577054]",RoadIntersection,"E 82nd St & S Euclid Ave, Chicago, IL 60617"
277,S Merrill Ave And E 81st St,"<[OK] Bing - Geocode [S Merrill Ave & E 81st St, Chicago, IL 60617]>","[41.747996, -87.572251]",RoadIntersection,"S Merrill Ave & E 81st St, Chicago, IL 60617"
278,E 110th St And S Avenue L,"<[OK] Bing - Geocode [E 110th St & S Avenue L, Chicago, IL 60617]>","[41.695481, -87.536465]",RoadIntersection,"E 110th St & S Avenue L, Chicago, IL 60617"
279,S Avenue L And E 107th St,"<[OK] Bing - Geocode [S Avenue L & E 107th St, Chicago, IL 60617]>","[41.7009339, -87.5364927]",RoadIntersection,"S Avenue L & E 107th St, Chicago, IL 60617"
280,E 110th St And S Avenue O,"<[OK] Bing - Geocode [E 110th St & S Avenue O, Chicago, IL 60617]>","[41.695493, -87.540106]",RoadIntersection,"E 110th St & S Avenue O, Chicago, IL 60617"
281,E 92nd Pl And S St Lawrence Ave,"<[OK] Bing - Geocode [E 92nd Pl & S Saint Lawrence Ave, Chicago, IL 60619]>","[41.7265458, -87.6094193]",RoadIntersection,"E 92nd Pl & S Saint Lawrence Ave, Chicago, IL 60619"
282,S St Lawrence Ave And E 92nd Pl,"<[OK] Bing - Geocode [S Saint Lawrence Ave & E 92nd Pl, Chicago, IL 60619]>","[41.7265458, -87.6094193]",RoadIntersection,"S Saint Lawrence Ave & E 92nd Pl, Chicago, IL 60619"
283,E 92nd St And S Eberhart Ave,"<[OK] Bing - Geocode [E 92nd St & S Eberhart Ave, Chicago, IL 60619]>","[41.7274151, -87.6118764]",RoadIntersection,"E 92nd St & S Eberhart Ave, Chicago, IL 60619"
284,N Hiawatha Ave And N Forest Glen Ave,"<[OK] Bing - Geocode [N Hiawatha Ave & N Forest Glen Ave, Chicago, IL 60646]>","[41.9902461, -87.742291]",RoadIntersection,"N Hiawatha Ave & N Forest Glen Ave, Chicago, IL 60646"
285,W Peterson Ave And N Kilbourn Ave,"<[OK] Bing - Geocode [W Peterson Ave & N Kilbourn Ave, Chicago, IL 60646]>","[41.9900412, -87.7408028]",RoadIntersection,"W Peterson Ave & N Kilbourn Ave, Chicago, IL 60646"
286,N Leoti Ave And N Spokane Ave,"<[OK] Bing - Geocode [N Leoti Ave & N Spokane Ave, Chicago, IL 60646]>","[41.9968845, -87.7611487]",RoadIntersection,"N Leoti Ave & N Spokane Ave, Chicago, IL 60646"
287,W Devon Ave And N Caldwell Ave,"<[OK] Bing - Geocode [W Devon Ave & N Caldwell Ave, Chicago, IL 60646]>","[41.997316, -87.766935]",RoadIntersection,"W Devon Ave & N Caldwell Ave, Chicago, IL 60646"
288,N Drake Ave And W Huron St,"<[OK] Bing - Geocode [N Drake Ave & W Huron St, Chicago, IL 60624]>","[41.893657, -87.71508]",RoadIntersection,"N Drake Ave & W Huron St, Chicago, IL 60624"
289,W Chicago Ave And N St Louis Ave,"<[OK] Bing - Geocode [W Chicago Ave & N Saint Louis Ave, Chicago, IL 60651]>","[41.895518, -87.713906]",RoadIntersection,"W Chicago Ave & N Saint Louis Ave, Chicago, IL 60651"
290,W Augusta Blvd And N Trumbull Ave,"<[OK] Bing - Geocode [W Augusta Blvd & N Trumbull Ave, Chicago, IL 60651]>","[41.899152, -87.712796]",RoadIntersection,"W Augusta Blvd & N Trumbull Ave, Chicago, IL 60651"
291,S Bishop St And W 85th St,"<[OK] Bing - Geocode [S Bishop St & W 85th St, Chicago, IL 60620]>","[41.739474, -87.659503]",RoadIntersection,"S Bishop St & W 85th St, Chicago, IL 60620"
292,W 86th St And S Bishop St,"<[OK] Bing - Geocode [W 86th St & S Bishop St, Chicago, IL 60620]>","[41.737652, -87.659468]",RoadIntersection,"W 86th St & S Bishop St, Chicago, IL 60620"
293,W 86th St And S Racine Ave,"<[OK] Bing - Geocode [W 86th St & S Racine Ave, Chicago, IL 60620]>","[41.737744, -87.653399]",RoadIntersection,"W 86th St & S Racine Ave, Chicago, IL 60620"
294,S Racine Ave And W 85th St,"<[OK] Bing - Geocode [S Racine Ave & W 85th St, Chicago, IL 60620]>","[41.739565, -87.653451]",RoadIntersection,"S Racine Ave & W 85th St, Chicago, IL 60620"
295,N Rockwell St And N Lincoln Ave,"<[OK] Bing - Geocode [N Rockwell St, Chicago, IL 60645]>","[42.01942645, -87.6948866500003]",RoadBlock,"N Rockwell St, Chicago, IL 60645"
296,W Bryn Mawr Ave And N Campbell Ave,"<[OK] Bing - Geocode [W Bryn Mawr Ave & N Campbell Ave, Chicago, IL 60659]>","[41.983158, -87.691876]",RoadIntersection,"W Bryn Mawr Ave & N Campbell Ave, Chicago, IL 60659"
297,N Rockwell St And W Catalpa Ave,"<[OK] Bing - Geocode [N Rockwell St & W Catalpa Ave, Chicago, IL 60625]>","[41.981326, -87.694229]",RoadIntersection,"N Rockwell St & W Catalpa Ave, Chicago, IL 60625"
298,W Hollywood Ave And N Rockwell St,"<[OK] Bing - Geocode [W Hollywood Ave & N Rockwell St, Chicago, IL 60659]>","[41.984959, -87.69435]",RoadIntersection,"W Hollywood Ave & N Rockwell St, Chicago, IL 60659"
299,S Cottage Grove Ave And E 41st St,"<[OK] Bing - Geocode [S Cottage Grove Ave & E 41st St, Chicago, IL 60653]>","[41.820526, -87.606802]",RoadIntersection,"S Cottage Grove Ave & E 41st St, Chicago, IL 60653"
300,N Octavia Ave And W Ibsen St,"<[OK] Bing - Geocode [N Octavia Ave & W Ibsen St, Chicago, IL 60631]>","[42.006213, -87.809138]",RoadIntersection,"N Octavia Ave & W Ibsen St, Chicago, IL 60631"
301,6858 N Octavia Ave,"<[OK] Bing - Geocode [6858 N Octavia Ave, Chicago, IL 60631]>","[42.00595759154098, -87.80920529095853]",Address,"6858 N Octavia Ave, Chicago, IL 60631"
302,N Odell Ave And W Ibsen St,"<[OK] Bing - Geocode [N Odell Ave & W Ibsen St, Chicago, IL 60631]>","[42.00637895, -87.81096245]",RoadIntersection,"N Odell Ave & W Ibsen St, Chicago, IL 60631"
303,W Diversey Pkwy And N Sheffield Ave,"<[OK] Bing - Geocode [W Diversey Pkwy & N Sheffield Ave, Chicago, IL 60614]>","[41.93267, -87.653845]",RoadIntersection,"W Diversey Pkwy & N Sheffield Ave, Chicago, IL 60614"
304,N Kenmore Ave And W Diversey Pkwy,"<[OK] Bing - Geocode [N Kenmore Ave & W Diversey Pkwy, Chicago, IL 60614]>","[41.932642, -87.655146]",RoadIntersection,"N Kenmore Ave & W Diversey Pkwy, Chicago, IL 60614"
305,E 72nd St And S Phillips Ave,"<[OK] Bing - Geocode [E 72nd St & S Phillips Ave, Chicago, IL 60649]>","[41.764439, -87.565772]",RoadIntersection,"E 72nd St & S Phillips Ave, Chicago, IL 60649"
306,S Kingston Ave And E 74th St,"<[OK] Bing - Geocode [S Kingston Ave & E 74th St, Chicago, IL 60649]>","[41.76086, -87.563224]",RoadIntersection,"S Kingston Ave & E 74th St, Chicago, IL 60649"
307,S Colfax Ave And E 74th St,"<[OK] Bing - Geocode [S Colfax Ave & E 74th St, Chicago, IL 60649]>","[41.760847, -87.562493]",RoadIntersection,"S Colfax Ave & E 74th St, Chicago, IL 60649"
308,S Perry Ave And W 112th Pl,"<[OK] Bing - Geocode [S Perry Ave & W 112th Pl, Chicago, IL 60628]>","[41.689832, -87.62575]",RoadIntersection,"S Perry Ave & W 112th Pl, Chicago, IL 60628"
309,W 112th Pl And S Perry Ave,"<[OK] Bing - Geocode [W 112th Pl & S Perry Ave, Chicago, IL 60628]>","[41.689832, -87.62575]",RoadIntersection,"W 112th Pl & S Perry Ave, Chicago, IL 60628"
310,S State St And W 112th St,"<[OK] Bing - Geocode [S State St & W 112th St, Chicago, IL 60628]>","[41.690774, -87.623056]",RoadIntersection,"S State St & W 112th St, Chicago, IL 60628"
311,W 113th Pl And S Wentworth Ave,"<[OK] Bing - Geocode [W 113th Pl & S Wentworth Ave, Chicago, IL 60628]>","[41.687974, -87.627781]",RoadIntersection,"W 113th Pl & S Wentworth Ave, Chicago, IL 60628"
312,E 104th St And S Avenue O,"<[OK] Bing - Geocode [E 104th St & S Avenue O, Chicago, IL 60617]>","[41.706372, -87.540135]",RoadIntersection,"E 104th St & S Avenue O, Chicago, IL 60617"
313,S Avenue E And E 104th St,"<[OK] Bing - Geocode [S Avenue E & E 104th St, Chicago, IL 60617]>","[41.70638, -87.529201]",RoadIntersection,"S Avenue E & E 104th St, Chicago, IL 60617"
314,E 96th St And S Houston Ave,"<[OK] Bing - Geocode [E 96th St & S Houston Ave, Chicago, IL 60617]>","[41.720949, -87.549677]",RoadIntersection,"E 96th St & S Houston Ave, Chicago, IL 60617"
315,S Peoria St And W 128th Pl,"<[OK] Bing - Geocode [S Peoria St & W 128th Pl, Chicago, IL 60643]>","[41.660452, -87.643757]",RoadIntersection,"S Peoria St & W 128th Pl, Chicago, IL 60643"
316,W 128th Pl And S Halsted St,"<[OK] Bing - Geocode [W 128th Pl & S Halsted St, Chicago, IL 60628]>","[41.660454, -87.64127]",RoadIntersection,"W 128th Pl & S Halsted St, Chicago, IL 60628"
317,W Vermont St And S Sangamon St,"<[OK] Bing - Geocode [W Vermont St & S Sangamon St, Chicago, IL 60643]>","[41.661087, -87.64501]",RoadIntersection,"W Vermont St & S Sangamon St, Chicago, IL 60643"
318,W 128th Pl And S Emerald Ave,"<[OK] Bing - Geocode [W 128th Pl & S Emerald Ave, Chicago, IL 60628]>","[41.660472, -87.640121]",RoadIntersection,"W 128th Pl & S Emerald Ave, Chicago, IL 60628"
319,W 128th Pl And S Lowe Ave,"<[OK] Bing - Geocode [W 128th Pl & S Lowe Ave, Chicago, IL 60628]>","[41.660502, -87.637744]",RoadIntersection,"W 128th Pl & S Lowe Ave, Chicago, IL 60628"
320,S Homan Ave And W 53rd Pl,"<[OK] Bing - Geocode [S Homan Ave & W 53rd Pl, Chicago, IL 60632]>","[41.7961971, -87.708501]",RoadIntersection,"S Homan Ave & W 53rd Pl, Chicago, IL 60632"
321,W 54th St And S Spaulding Ave,"<[OK] Bing - Geocode [W 54th St & S Spaulding Ave, Chicago, IL 60632]>","[41.795337, -87.706047]",RoadIntersection,"W 54th St & S Spaulding Ave, Chicago, IL 60632"
322,W 54th St And S Homan Ave,"<[OK] Bing - Geocode [W 54th St & S Homan Ave, Chicago, IL 60632]>","[41.7952751, -87.7084527]",RoadIntersection,"W 54th St & S Homan Ave, Chicago, IL 60632"
323,E 80th St And S Eberhart Ave,"<[OK] Bing - Geocode [E 80th St & S Eberhart Ave, Chicago, IL 60619]>","[41.749315, -87.612468]",RoadIntersection,"E 80th St & S Eberhart Ave, Chicago, IL 60619"
324,E 80th St And S Rhodes Ave,"<[OK] Bing - Geocode [E 80th St & S Rhodes Ave, Chicago, IL 60619]>","[41.749358, -87.611257]",RoadIntersection,"E 80th St & S Rhodes Ave, Chicago, IL 60619"
325,E 81st St And S Vernon Ave,"<[OK] Bing - Geocode [E 81st St & S Vernon Ave, Chicago, IL 60619]>","[41.7474205, -87.6136365]",RoadIntersection,"E 81st St & S Vernon Ave, Chicago, IL 60619"
326,E 80th St And S Evans Ave,"<[OK] Bing - Geocode [E 80th St & S Evans Ave, Chicago, IL 60619]>","[41.749415, -87.606412]",RoadIntersection,"E 80th St & S Evans Ave, Chicago, IL 60619"
327,E 80th St And S Vernon Ave,"<[OK] Bing - Geocode [E 80th St & S Vernon Ave, Chicago, IL 60619]>","[41.749307, -87.613657]",RoadIntersection,"E 80th St & S Vernon Ave, Chicago, IL 60619"
328,N Northwest Hwy And N Oshkosh Ave,"<[OK] Bing - Geocode [N Northwest Hwy & N Oshkosh Ave, Chicago, IL 60631]>","[42.003461, -87.817251]",RoadIntersection,"N Northwest Hwy & N Oshkosh Ave, Chicago, IL 60631"
329,N Ozark Ave And N Northwest Hwy,"<[OK] Bing - Geocode [N Ozark Ave & N Northwest Hwy, Chicago, IL 60631]>","[42.005239, -87.820042]",RoadIntersection,"N Ozark Ave & N Northwest Hwy, Chicago, IL 60631"
330,N Olympia Ave And N Oketo Ave,"<[OK] Bing - Geocode [N Olympia Ave & N Oketo Ave, Chicago, IL 60631]>","[42.0040192, -87.8115569]",RoadIntersection,"N Olympia Ave & N Oketo Ave, Chicago, IL 60631"
331,W Pratt Ave And N Oliphant Ave,"<[OK] Bing - Geocode [W Pratt Ave & N Oliphant Ave, Chicago, IL 60631]>","[42.0042105, -87.8145861]",RoadIntersection,"W Pratt Ave & N Oliphant Ave, Chicago, IL 60631"
332,S Normal Ave And W 35th St,"<[OK] Bing - Geocode [S Normal Ave & W 35th St, Chicago, IL 60616]>","[41.830874, -87.638813]",RoadIntersection,"S Normal Ave & W 35th St, Chicago, IL 60616"
333,W 37th St And S Parnell Ave,"<[OK] Bing - Geocode [W 37th St & S Parnell Ave, Chicago, IL 60609]>","[41.8272, -87.6399273]",RoadIntersection,"W 37th St & S Parnell Ave, Chicago, IL 60609"
334,S Central Park Ave And W 86th St,"<[OK] Bing - Geocode [S Central Park Ave & W 86th St, Chicago, IL 60652]>","[41.736856, -87.712018]",RoadIntersection,"S Central Park Ave & W 86th St, Chicago, IL 60652"
335,W 86th Pl And S Lawndale Ave,"<[OK] Bing - Geocode [W 86th Pl & S Lawndale Ave, Chicago, IL 60652]>","[41.735908, -87.714177]",RoadIntersection,"W 86th Pl & S Lawndale Ave, Chicago, IL 60652"
336,S Lawndale Ave And W 86th St,"<[OK] Bing - Geocode [S Lawndale Ave & W 86th St, Chicago, IL 60652]>","[41.736818, -87.714204]",RoadIntersection,"S Lawndale Ave & W 86th St, Chicago, IL 60652"
337,W Lawrence Ave And N Cicero Ave,"<[OK] Bing - Geocode [W Lawrence Ave & N Cicero Ave, Chicago, IL 60630]>","[41.9680293, -87.7476329]",RoadIntersection,"W Lawrence Ave & N Cicero Ave, Chicago, IL 60630"
338,N Monitor Ave And N Indian Rd,"<[OK] Bing - Geocode [N Monitor Ave & N Indian Rd, Chicago, IL 60646]>","[41.9920448, -87.7741925]",RoadIntersection,"N Monitor Ave & N Indian Rd, Chicago, IL 60646"
339,W Peterson Ave And N Monitor Ave,"<[OK] Bing - Geocode [W Peterson Ave & N Monitor Ave, Chicago, IL 60646]>","[41.9901988, -87.7742376]",RoadIntersection,"W Peterson Ave & N Monitor Ave, Chicago, IL 60646"
340,S Kolmar Ave And W 68th St,"<[OK] Bing - Geocode [S Kolmar Ave & W 68th St, Chicago, IL 60629]>","[41.7694367, -87.7357373]",RoadIntersection,"S Kolmar Ave & W 68th St, Chicago, IL 60629"
341,W 68th St And S Kilbourn Ave,"<[OK] Bing - Geocode [W 68th St & S Kilbourn Ave, Chicago, IL 60629]>","[41.769383, -87.734713]",RoadIntersection,"W 68th St & S Kilbourn Ave, Chicago, IL 60629"
342,S Woodlawn Ave And E 79th St,"<[OK] Bing - Geocode [S Woodlawn Ave & E 79th St, Chicago, IL 60619]>","[41.751379, -87.595507]",RoadIntersection,"S Woodlawn Ave & E 79th St, Chicago, IL 60619"
343,S Woodlawn Ave And E 82nd Pl,"<[OK] Bing - Geocode [S Woodlawn Ave & E 82nd Pl, Chicago, IL 60619]>","[41.744997, -87.595335]",RoadIntersection,"S Woodlawn Ave & E 82nd Pl, Chicago, IL 60619"
344,S Archer Ave And S Rockwell St,"<[OK] Bing - Geocode [S Archer Ave & S Rockwell St, Chicago, IL 60632]>","[41.823049, -87.689719]",RoadIntersection,"S Archer Ave & S Rockwell St, Chicago, IL 60632"
345,S Trumbull Ave And W 46th St,"<[OK] Bing - Geocode [S Trumbull Ave & W 46th St, Chicago, IL 60632]>","[41.8098577, -87.7097554]",RoadIntersection,"S Trumbull Ave & W 46th St, Chicago, IL 60632"
346,W 46th St And S Kedzie Ave,"<[OK] Bing - Geocode [W 46th St & S Kedzie Ave, Chicago, IL 60632]>","[41.8099583, -87.7040529]",RoadIntersection,"W 46th St & S Kedzie Ave, Chicago, IL 60632"
347,W 45th St And S Trumbull Ave,"<[OK] Bing - Geocode [W 45th St & S Trumbull Ave, Chicago, IL 60632]>","[41.8116931, -87.7101751]",RoadIntersection,"W 45th St & S Trumbull Ave, Chicago, IL 60632"
348,N Leamington Ave And W Ferdinand St,"<[OK] Bing - Geocode [N Leamington Ave & W Ferdinand St, Chicago, IL 60644]>","[41.889344, -87.754162]",RoadIntersection,"N Leamington Ave & W Ferdinand St, Chicago, IL 60644"
349,E 94th St And S Forest Ave,"<[OK] Bing - Geocode [E 94th St & S Forest Ave, Chicago, IL 60619]>","[41.723685, -87.61662]",RoadIntersection,"E 94th St & S Forest Ave, Chicago, IL 60619"
350,W Eddy St And N Lamon Ave,"<[OK] Bing - Geocode [Chicago, IL]>","[41.88322830200195, -87.63240051269531]",PopulatedPlace,"Chicago, IL"
351,N Kenton Ave And W Fullerton Ave,"<[OK] Bing - Geocode [N Kenton Ave & W Fullerton Ave, Chicago, IL 60639]>","[41.924351, -87.741389]",RoadIntersection,"N Kenton Ave & W Fullerton Ave, Chicago, IL 60639"
352,W 61st St And S Major Ave,"<[OK] Bing - Geocode [W 61st St & S Major Ave, Chicago, IL 60638]>","[41.7816819, -87.7642869]",RoadIntersection,"W 61st St & S Major Ave, Chicago, IL 60638"
353,W 72nd St And S Emerald Ave,"<[OK] Bing - Geocode [W 72nd St & S Emerald Ave, Chicago, IL 60621]>","[41.763408, -87.642996]",RoadIntersection,"W 72nd St & S Emerald Ave, Chicago, IL 60621"
354,S Oakley Ave And W 91st St,"<[OK] Bing - Geocode [S Oakley Ave & W 91st St, Chicago, IL 60643]>","[41.728295, -87.679813]",RoadIntersection,"S Oakley Ave & W 91st St, Chicago, IL 60643"
355,E 86th St And S Jeffery Blvd,"<[OK] Bing - Geocode [E 86th St & S Jeffery Blvd, Chicago, IL 60617]>","[41.738867, -87.575752]",RoadIntersection,"E 86th St & S Jeffery Blvd, Chicago, IL 60617"
356,W 50th St And S Western Ave,"<[OK] Bing - Geocode [W 50th St & S Western Ave, Chicago, IL 60609]>","[41.8029714, -87.6843143]",RoadIntersection,"W 50th St & S Western Ave, Chicago, IL 60609"
357,W 54th St And S Kenneth Ave,"<[OK] Bing - Geocode [W 54th St & S Kenneth Ave, Chicago, IL 60632]>","[41.794955, -87.7342594]",RoadIntersection,"W 54th St & S Kenneth Ave, Chicago, IL 60632"
358,W 62nd St And S Hamlin Ave,"<[OK] Bing - Geocode [W 62nd St & S Hamlin Ave, Chicago, IL 60629]>","[41.7805477, -87.7178979]",RoadIntersection,"W 62nd St & S Hamlin Ave, Chicago, IL 60629"
359,W Albion Ave And N Sayre Ave,"<[OK] Bing - Geocode [W Albion Ave & N Sayre Ave, Chicago, IL 60631]>","[42.0015351, -87.801613]",RoadIntersection,"W Albion Ave & N Sayre Ave, Chicago, IL 60631"
360,W Byron St And N Sayre Ave,"<[OK] Bing - Geocode [W Byron St & N Sayre Ave, Chicago, IL 60634]>","[41.95085, -87.801024]",RoadIntersection,"W Byron St & N Sayre Ave, Chicago, IL 60634"
361,W Cortland St And N Sayre Ave,"<[OK] Bing - Geocode [W Cortland St & N Sayre Ave, Chicago, IL 60707]>","[41.914459, -87.80041]",RoadIntersection,"W Cortland St & N Sayre Ave, Chicago, IL 60707"
362,W Estes Ave And N Ionia Ave,"<[OK] Bing - Geocode [W Estes Ave & N Ionia Ave, Chicago, IL 60646]>","[42.0100376, -87.7756251]",RoadIntersection,"W Estes Ave & N Ionia Ave, Chicago, IL 60646"
363,W Hirsch St And N Spaulding Ave,"<[OK] Bing - Geocode [W Hirsch St & N Spaulding Ave, Chicago, IL 60651]>","[41.9064535, -87.7093508]",RoadIntersection,"W Hirsch St & N Spaulding Ave, Chicago, IL 60651"
364,W Madison St And S Francisco Ave,"<[OK] Bing - Geocode [W Madison St & S Francisco Ave, Chicago, IL 60612]>","[41.8810754, -87.6987378]",RoadIntersection,"W Madison St & S Francisco Ave, Chicago, IL 60612"
365,W Ohio St And N Kedzie Ave,"<[OK] Bing - Geocode [W Ohio St & N Kedzie Ave, Chicago, IL 60624]>","[41.891914, -87.706472]",RoadIntersection,"W Ohio St & N Kedzie Ave, Chicago, IL 60624"
366,W 46th St And S Laflin St,"<[OK] Bing - Geocode [W 46th St & S Laflin St, Chicago, IL 60609]>","[41.8104757, -87.662587]",RoadIntersection,"W 46th St & S Laflin St, Chicago, IL 60609"
367,W School St And N Octavia Ave,"<[OK] Bing - Geocode [W School St & N Octavia Ave, Chicago, IL 60634]>","[41.939768, -87.80921]",RoadIntersection,"W School St & N Octavia Ave, Chicago, IL 60634"
