,Unnamed: 0,location_name,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
570,751,On N Mulligan Ave From W Peterson Ave To N Northwest Hwy,N Mulligan Ave And W Peterson Ave,N Mulligan Ave And N Northwest Hwy,"[41.9901298, -87.7863902]","[41.985273, -87.786537]",170311001005,170311001004
571,752,On N New England Ave From W Belmont Ave To W Wellington Ave,N New England Ave And W Belmont Ave,N New England Ave And W Wellington Ave,"[41.938127, -87.798125]","[41.9345001, -87.7980333]",170311710003,170311801004
572,753,On N Newcastle Ave From W Belmont Ave To W Wellington Ave,N Newcastle Ave And W Belmont Ave,N Newcastle Ave And W Wellington Ave,"[41.938148, -87.796894]","[41.934512, -87.796794]",170311710003,170311801001
573,754,On N Newland Ave From W Dickens Ave To W Armitage Ave,N Newland Ave And W Dickens Ave,N Newland Ave And W Armitage Ave,"[41.9181208, -87.7987359]","[41.9163042, -87.7986731]",170312505005,170312505005
574,755,On N Newland Ave From W Wrightwood Ave To W Grand Ave,N Newland Ave And W Wrightwood Ave,N Newland Ave And W Grand Ave,"[41.927214, -87.7990308]","[41.923592, -87.798876]",170318316002,170318316002
575,756,On N Normandy Ave From W Barry Ave To W Wellington Ave,N Normandy Ave And W Barry Ave,N Normandy Ave And W Wellington Ave,"[41.936391, -87.793164]","[41.9345659, -87.7931413]",170311801001,170311801001
576,757,On N Oak Park Ave From W Altgeld St To W Grand Ave,N Oak Park Ave And W Altgeld St,N Oak Park Ave And W Grand Ave,"[41.925438, -87.795256]","[41.923627, -87.795201]",170318316005,170318316005
577,758,On N Oconto Ave From W Thorndale Ave To W Talcott Ave,N Oconto Ave And W Thorndale Ave,N Oconto Ave And W Talcott Ave,"[41.9877644, -87.8083494]","[41.986512, -87.808431]",170311003002,170311003002
578,759,On N Olcott Ave From W Gregory St To W Catalpa Ave,N Olcott Ave And W Gregory St,N Olcott Ave And W Catalpa Ave,"[41.9815109, -87.8136976]","[41.979268, -87.8143317]",170311005003,170311005003
579,760,On N Melvina Ave From W Bloomingdale Ave To W Wabansia Ave,N Melvina Ave And W Bloomingdale Ave,N Melvina Ave And W Wabansia Ave,"[41.9128671, -87.7802302]","[41.911043, -87.780138]",170312504005,170312504005
580,761,On N Paris Ave From W Grace St To W Waveland Ave,N Paris Ave And W Grace St,N Paris Ave And W Waveland Ave,"[41.9485666, -87.8304291]","[41.946748, -87.830334]",170311705003,170311705004
581,762,On N Sayre Ave From W Bloomingdale Ave To W North Ave,N Sayre Ave And W Bloomingdale Ave,N Sayre Ave And W North Ave,"[41.9126049, -87.8004031]","[41.909025, -87.800203]",170312505004,170312505003
582,763,On N Springfield Ave From W Grand Ave To W Potomac Ave,N Springfield Ave And W Grand Ave,N Springfield Ave And W Potomac Ave,"[41.905216, -87.723956]","[41.90449, -87.72394]",170312307003,170312307003
583,764,On N Woodard St From N Milwaukee Ave To N Spaulding Ave,N Woodard St And N Milwaukee Ave,N Woodard St And N Spaulding Ave,"[41.932303, -87.712751]","[41.934953, -87.709923]",170312106022,170312106021
584,765,6500-6526 N Neva Ave,6500 N Neva Ave,6526 N Neva Ave,"[42.000052, -87.805608]","[42.000795, -87.805597]",170311002006,170311002006
585,766,On S Archer Ave From S Central Ave To S Long Ave,S Archer Ave And S Central Ave,S Archer Ave And S Long Ave,"[41.795815, -87.76213035]","[41.79644, -87.757503]",170315607002,170315607002
586,767,On S Archer Ave From S Linder Ave To S Long Ave,S Archer Ave And S Linder Ave,S Archer Ave And S Long Ave,"[41.7960635, -87.7598569]","[41.79644, -87.757503]",170315607002,170315607002
587,768,On S Ashland Ave From W Congress Pkwy To W Roosevelt Rd,S Ashland Ave And W Congress Pkwy,S Ashland Ave And W Roosevelt Rd,"[41.8752, -87.666715]","[41.866928, -87.666477]",170318381003,170318382002
588,769,On S Blackstone Ave From E 74th St To E 75th St,S Blackstone Ave And E 74th St,S Blackstone Ave And E 75th St,"[41.7605542, -87.588434]","[41.758727, -87.588362]",170314304004,170318342004
589,770,On S California Ave From W Monroe St To W Van Buren St,S California Ave And W Monroe St,S California Ave And W Van Buren St,"[41.880187, -87.696289]","[41.8760167, -87.696175]",170318370002,170318370001
590,771,On S Carpenter St From W 71st St To W 72nd St,S Carpenter St And W 71st St,S Carpenter St And W 72nd St,"[41.765118, -87.650482]","[41.763297, -87.650433]",170316811003,170316814004
591,772,On S Dorchester Ave From E 70th St To E 71st St,S Dorchester Ave And E 70th St,S Dorchester Ave And E 71st St,"[41.7678429, -87.5910386]","[41.765982, -87.5910871]",170314303003,170314304001
592,773,On S Emerald Ave From W 69th St To W 71st St,S Emerald Ave And W 69th St,S Emerald Ave And W 71st St,"[41.768865, -87.643256]","[41.765231, -87.643172]",170316812004,170316812001
593,774,On N Point St From N California Ave To W Armitage Ave,N Point St And N California Ave,N Point St And W Armitage Ave,"[41.91956, -87.697233]","[41.91753, -87.694084]",170312214002,170312214003
594,775,On N Mcclellan Ave From N Mandell Ave To N Meredith Ave,N Mcclellan Ave And N Mandell Ave,N Mcclellan Ave And N Meredith Ave,"[41.9958331, -87.7705518]","[41.9943732, -87.7690537]",170311201003,170311201003
595,776,On S Fairfield Ave From W 80th St To W 81st St,S Fairfield Ave And W 80th St,S Fairfield Ave And W 81st St,"[41.74816, -87.69136]","[41.74633, -87.6913]",170317005013,170317005013
596,777,On N Lockwood Ave From W Altgeld St To W Fullerton Ave,N Lockwood Ave And W Altgeld St,N Lockwood Ave And W Fullerton Ave,"[41.9259364, -87.758668]","[41.924129, -87.758612]",170311907022,170311907023
597,778,On E 73rd St From S Blackstone Ave To S Stony Island Ave,E 73rd St And S Blackstone Ave,E 73rd St And S Stony Island Ave,"[41.7623717, -87.5884671]","[41.762389, -87.586257]",170314304003,170314304003
598,779,On N Ada St From W Hubbard St To W Kinzie St,N Ada St And W Hubbard St,N Ada St And W Kinzie St,"[41.889962, -87.660865]","[41.888936, -87.660865]",170312434003,170312434003
599,780,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave,N Ashland Ave And W Edgewater Ave,N Ashland Ave And W Bryn Mawr Ave,"[41.98589, -87.669929]","[41.983475, -87.669889]",170310304002,170310304002
600,781,On N Broadway From W Lawrence Ave To W Leland Ave,N Broadway And W Lawrence Ave,N Broadway And W Leland Ave,"[41.9690279, -87.6596676]","[41.9672118, -87.65865]",170310312002,170318307002
601,782,On N Campbell Ave From W Wellington Ave To N Elston Ave,N Campbell Ave And W Wellington Ave,N Campbell Ave And N Elston Ave,"[41.935761, -87.690406]","[41.933995, -87.690392]",170312109001,170312109001
602,783,On N Cicero Ave From W Berenice Ave To W Warwick Ave,N Cicero Ave And W Berenice Ave,N Cicero Ave And W Warwick Ave,"[41.950688, -87.747273]","[41.94887, -87.747203]",170311508001,170311508002
603,784,On N Lorel Ave From W Altgeld St To W Fullerton Ave,N Lorel Ave And W Altgeld St,N Lorel Ave And W Fullerton Ave,"[41.925914, -87.759843]","[41.924026, -87.759831]",170311907022,170311912001
604,785,On N Damen Ave From W Carroll Ave To W Warren Blvd,N Damen Ave And W Carroll Ave,N Damen Ave And W Warren Blvd,"[41.8876991, -87.6768196]","[41.8822439, -87.6767199]",170318378002,170318378002
605,786,On N Forest Glen Ave From N Ionia Ave To N Hiawatha Ave,N Forest Glen Ave And N Ionia Ave,N Forest Glen Ave And N Hiawatha Ave,"[41.9918058, -87.7410146]","[41.9902461, -87.742291]",170311203006,170311203005
606,787,On N Hamlin Ave From W School St To W Belmont Ave,N Hamlin Ave And W School St,N Hamlin Ave And W Belmont Ave,"[41.940994, -87.722337]","[41.939177, -87.722312]",170318311004,170318311004
607,788,On N Hiawatha Ave From N Lenox Ave To N Leader Ave,N Hiawatha Ave And N Lenox Ave,N Hiawatha Ave And N Leader Ave,"[41.9955171, -87.7536565]","[41.9945461, -87.7516245]",170311202003,170311202004
608,789,On N Jersey Ave From W Ardmore Ave To W Bryn Mawr Ave,N Jersey Ave And W Ardmore Ave,N Jersey Ave And W Bryn Mawr Ave,"[41.986686, -87.709932]","[41.983062, -87.708879]",170311303003,170318318005
609,790,On N Clark St From W Arthur Ave To W Edgewater Ave,N Clark St And W Arthur Ave,N Clark St And W Edgewater Ave,"[42.0006075, -87.6715287]","[42.019424, -87.676265]",170318306003,"[42.019424, -87.676265]"
610,791,On N Keeler Ave From W Lake St To W Maypole Ave,N Keeler Ave And W Lake St,N Keeler Ave And W Maypole Ave,"[41.8857601, -87.730691]","[41.8846207, -87.7306645]",170312602001,170312602001
611,792,On N Kilbourn Ave From W Roscoe St To W School St,N Kilbourn Ave And W Roscoe St,N Kilbourn Ave And W School St,"[41.9425913, -87.739599]","[41.94077, -87.739547]",170311612001,170311612002
612,793,On N Kimball Ave From W Fullerton Ave To W Schubert Ave,N Kimball Ave And W Fullerton Ave,N Kimball Ave And W Schubert Ave,"[41.924892799999995, -87.71209175]","[41.9301559, -87.7122144]",170312206011,170312206024
613,794,On N Kolmar Ave From W George St To W Diversey Ave,N Kolmar Ave And W George St,N Kolmar Ave And W Diversey Ave,"[41.933452, -87.740746]","[41.931638, -87.740674]",170312001003,170312001003
614,795,On N La Salle Dr From W Chicago Ave To W Oak St,N La Salle Dr And W Chicago Ave,N La Salle Dr And W Oak St,"[41.896629, -87.632795]","[41.90056, -87.632912]",170310810005,170310810005
615,796,On N Lansing Ave From N Forest Glen Ave To N Lemont Ave,N Lansing Ave And N Forest Glen Ave,N Lansing Ave And N Lemont Ave,"[41.9845355, -87.7506125]","[41.9867595, -87.7539491]",170311202004,170311202004
616,797,On N Latrobe Ave From W Augusta Blvd To W Iowa St,N Latrobe Ave And W Augusta Blvd,N Latrobe Ave And W Iowa St,"[41.898596, -87.756912]","[41.896761, -87.756863]",170312512004,170312512002
617,798,On N Leamington Ave From W Berwyn Ave To W Foster Ave,N Leamington Ave And W Berwyn Ave,N Leamington Ave And W Foster Ave,"[41.977037, -87.756598]","[41.9752355, -87.7565398]",170311105013,170311105013
618,799,On N Leona Ave From N Hiawatha Ave To N Caldwell Ave,N Leona Ave And N Hiawatha Ave,N Leona Ave And N Caldwell Ave,"[41.9959933, -87.7547034]","[41.9929206, -87.7573037]",170311202003,170311202003
619,800,On N Lincoln Ave From N St Louis Ave To N Jersey Ave,N Lincoln Ave And N St Louis Ave,N Lincoln Ave And N Jersey Ave,"[41.9956109, -87.71645240000001]","[41.993006, -87.711602]",170311301003,170311301003
620,801,On N Lincoln Ave From W Devon Ave To N Drake Ave,N Lincoln Ave And W Devon Ave,N Lincoln Ave And N Drake Ave,"[41.997237, -87.718706]","[41.996589, -87.717445]",170311301003,170311301003
621,802,On N Kedzie Ave From W Argyle St To W Ainslie St,N Kedzie Ave And W Argyle St,N Kedzie Ave And W Ainslie St,"[41.972105, -87.708594]","[41.970276, -87.708538]",170311402001,170311402001
622,803,On N Oconto Ave From W Howard St To W Birchwood Ave,N Oconto Ave And W Howard St,N Oconto Ave And W Birchwood Ave,"[42.018934, -87.807783]","[42.017112, -87.807804]",170310901001,170310901001
623,804,On N Nottingham Ave From W School St To W Belmont Ave,N Nottingham Ave And W School St,N Nottingham Ave And W Belmont Ave,"[41.939854, -87.804318]","[41.9380446, -87.8042742]",170311710006,170311710006
624,805,On N Nordica Ave From W Waveland Ave To W Roscoe St,N Nordica Ave And W Waveland Ave,N Nordica Ave And W Roscoe St,"[41.9471513, -87.8033813]","[41.941704, -87.8031827]",170311703005,170311710006
625,806,On N Newland Ave From W Irving Park Rd To W Grace St,N Newland Ave And W Irving Park Rd,N Newland Ave And W Grace St,"[41.952759, -87.799896]","[41.9490436, -87.7997649]",170311701001,170311703003
626,807,On N Milwaukee Ave From W Carmen Ave To W Foster Ave,N Milwaukee Ave And W Carmen Ave,N Milwaukee Ave And W Foster Ave,"[41.9730059, -87.7653429]","[41.9746376, -87.7668067]",170311105022,170311104001
627,808,On N New England Ave From W Diversey Ave To W Schubert Ave,N New England Ave And W Diversey Ave,N New England Ave And W Schubert Ave,"[41.930889, -87.797881]","[41.9290461, -87.7978179]",170311801003,170318316001
628,809,On N Narragansett Ave From W Berenice Ave To W Warwick Ave,N Narragansett Ave And W Berenice Ave,N Narragansett Ave And W Warwick Ave,"[41.950211, -87.7864031]","[41.948404, -87.786333]",170311702003,170311702003
629,810,On N Monitor Ave From W Thomas St To W Augusta Blvd,N Monitor Ave And W Thomas St,N Monitor Ave And W Augusta Blvd,"[41.9002358, -87.7716601]","[41.898428, -87.771601]",170312513004,170312513004
630,811,On N Milwaukee Ave From W Diversey Ave To N Kedzie Ave,N Milwaukee Ave And W Diversey Ave,N Milwaukee Ave And N Kedzie Ave,"[41.931964, -87.71226]","[41.92891255, -87.70738245]",170312206024,170312205003
631,812,On N Newcastle Ave From W Bloomingdale Ave To W Wabansia Ave,N Newcastle Ave And W Bloomingdale Ave,N Newcastle Ave And W Wabansia Ave,"[41.912651, -87.796051]","[41.9108203, -87.7960395]",170312505004,170312505003
632,813,On N Octavia Ave From W Howard St To W Birchwood Ave,N Octavia Ave And W Howard St,N Octavia Ave And W Birchwood Ave,"[42.018908, -87.809015]","[42.017087, -87.809024]",170310901001,170310901001
633,814,On S Drexel Ave From E 65th St To E 67th St,S Drexel Ave And E 65th St,S Drexel Ave And E 67th St,"[41.776781, -87.603422]","[41.773153, -87.603322]",170314208002,170318418002
634,815,On N Paulina St From W Ainslie St To W Lawrence Ave,N Paulina St And W Ainslie St,N Paulina St And W Lawrence Ave,"[41.9718351, -87.671121]","[41.9689036, -87.6710087]",170310310003,170310310003
635,816,On N Pontiac Ave From W School St To W Belmont Ave,N Pontiac Ave And W School St,N Pontiac Ave And W Belmont Ave,"[41.9392738, -87.8348655]","[41.9375796, -87.8347576]",170317608021,170311706002
636,817,On N Springfield Ave From W Fullerton Ave To W Shakespeare Ave,N Springfield Ave And W Fullerton Ave,N Springfield Ave And W Shakespeare Ave,"[41.924569, -87.724327]","[41.919963, -87.7241994]",170312207013,170312209013
637,818,On N Talman Ave From W Altgeld St To W Fullerton Ave,N Talman Ave And W Altgeld St,N Talman Ave And W Fullerton Ave,"[41.926668, -87.693804]","[41.924824, -87.693727]",170312203001,170312214001
638,819,On S Ada St From W 50th St To W 51st St,S Ada St And W 50th St,S Ada St And W 51st St,"[41.803236, -87.658738]","[41.801424, -87.658706]",170316111003,170316111002
639,820,On S Archer Ave From S Damen Ave To S Paulina St,S Archer Ave And S Damen Ave,S Archer Ave And S Paulina St,"[41.831904, -87.675336]","[41.836226, -87.668164]",170318403002,170318404001
640,821,On S Ashland Ave From S Archer Ave To W Pershing Rd,S Ashland Ave And S Archer Ave,S Ashland Ave And W Pershing Rd,"[41.837762, -87.665687]","[41.8231271, -87.6653327]",170318404001,170318426002
641,822,On S Blackstone Ave From E 73rd St To E 73rd Pl,S Blackstone Ave And E 73rd St,S Blackstone Ave And E 73rd Pl,"[41.7623717, -87.5884671]","[41.7614491, -87.5884506]",170314304003,170314304003
642,823,On S Blackstone Ave From E 81st St To E 82nd St,S Blackstone Ave And E 81st St,S Blackstone Ave And E 82nd St,"[41.74781, -87.588212]","[41.745983, -87.588223]",170318343006,170318343006
643,824,On S Calumet Ave From E 70th St To E 71st St,S Calumet Ave And E 70th St,S Calumet Ave And E 71st St,"[41.767495, -87.616918]","[41.765668, -87.616877]",170316904002,170316910001
644,825,On S Crandon Ave From E 69th St To E 70th St,S Crandon Ave And E 69th St,S Crandon Ave And E 70th St,"[41.769925, -87.569893]","[41.768026, -87.56984]",170318439004,170314301022
645,826,On N Meade Ave From W George St To W Diversey Ave,N Meade Ave And W George St,N Meade Ave And W Diversey Ave,"[41.932952, -87.778427]","[41.93111, -87.77835]",170311904012,170311904012
646,827,On N Paris Ave From W Addison St To W Forest Preserve Ave,N Paris Ave And W Addison St,N Paris Ave And W Forest Preserve Ave,"[41.944931, -87.830261]","[41.942967550000006, -87.8299812]",170311705004,170311706001
647,828,On N Lotus Ave From W Belmont Ave To W Wellington Ave,N Lotus Ave And W Belmont Ave,N Lotus Ave And W Wellington Ave,"[41.938631, -87.762805]","[41.9349797, -87.7626887]",170311511003,170311903002
648,829,On N Kedzie Ave From W Walnut St To W Lake St,N Kedzie Ave And W Walnut St,N Kedzie Ave And W Lake St,"[41.88542, -87.706273]","[41.88439, -87.706231]",170318368002,170318368002
649,830,On N Lincoln Ave From W Devon Ave To N Jersey Ave,N Lincoln Ave And W Devon Ave,N Lincoln Ave And N Jersey Ave,"[41.997237, -87.718706]","[41.993006, -87.711602]",170311301003,170311301003
650,831,On S Evans Ave From E 67th St To E 69th St,S Evans Ave And E 67th St,S Evans Ave And E 69th St,"[41.773107, -87.607033]","[41.76948, -87.606953]",170314212001,170314212002
651,832,On E 69th St From S Langley Ave To S Cottage Grove Ave,E 69th St And S Langley Ave,E 69th St And S Cottage Grove Ave,"[41.7694538, -87.6081473]","[41.769485, -87.60569]",170314212002,170314212002
652,833,On N Ada St From N Ogden Ave To W Madison St,N Ada St And N Ogden Ave,N Ada St And W Madison St,"[41.888011, -87.6610115]","[41.8815137, -87.6605694]",170318330002,170318331003
653,834,On N Albany Ave From W Lawrence Ave To W Leland Ave,N Albany Ave And W Lawrence Ave,N Albany Ave And W Leland Ave,"[41.968466, -87.706038]","[41.966648, -87.706007]",170311408005,"[41.966648, -87.706007]"
654,835,On N Bishop St From W Washington Blvd To W Madison St,N Bishop St And W Washington Blvd,N Bishop St And W Madison St,"[41.882898, -87.663729]","[41.88155, -87.663676]",170318330002,170318330002
655,836,On N Campbell Ave From W Altgeld St To W Fullerton Ave,N Campbell Ave And W Altgeld St,N Campbell Ave And W Fullerton Ave,"[41.926695, -87.690132]","[41.924922, -87.690082]",170318309002,170318309002
656,837,On N Central Park Ave From W Grand Ave To W Iowa St,N Central Park Ave And W Grand Ave,N Central Park Ave And W Iowa St,"[41.902263, -87.716547]","[41.8972908, -87.716356]",170312312001,170312311001
657,839,On N Cumberland Ave From W Irving Park Rd To W Berteau Ave,N Cumberland Ave And W Irving Park Rd,N Cumberland Ave And W Berteau Ave,"[41.952119, -87.836847]","[41.955687, -87.836626]",170317608021,170311705002
658,840,On N Damen Ave From W Ohio St To W Superior St,N Damen Ave And W Ohio St,N Damen Ave And W Superior St,"[41.892282, -87.676998]","[41.894817, -87.677071]",170312430001,170312430001
659,841,On N Hamlin Ave From W Cornelia Ave To W Roscoe St,N Hamlin Ave And W Cornelia Ave,N Hamlin Ave And W Roscoe St,"[41.944601, -87.722454]","[41.94281, -87.722389]",170318311003,170318311002
660,842,On N Long Ave From W Wabansia Ave To W North Ave,N Long Ave And W Wabansia Ave,N Long Ave And W North Ave,"[41.911291, -87.760604]","[41.909414, -87.760537]",170312503003,170312507005
661,843,On N Harding Ave From W Wrightwood Ave To W Altgeld St,N Harding Ave And W Wrightwood Ave,N Harding Ave And W Altgeld St,"[41.928191, -87.725645]","[41.926337, -87.72559]",170312207022,170312207013
662,844,On N Justine St From W Arbour Pl To W Lake St,N Justine St And W Arbour Pl,N Justine St And W Lake St,"[41.888264, -87.665525]","[41.885354, -87.665434]",170318330002,170318330002
663,845,On N Keene Ave From N Sauganash Ave To N Ionia Ave,N Keene Ave And N Sauganash Ave,N Keene Ave And N Ionia Ave,"[41.9957015, -87.7448504]","[41.9941983, -87.7461654]",170311203006,170311203006
664,846,On N Kildare Ave From W Lake St To W Maypole Ave,N Kildare Ave And W Lake St,N Kildare Ave And W Maypole Ave,"[41.8859111, -87.7331406]","[41.884621, -87.7331511]",170312603001,170312603001
665,847,On N Kirby Ave From N Caldwell Ave To N Kercheval Ave,N Kirby Ave And N Caldwell Ave,N Kirby Ave And N Kercheval Ave,"[41.98612705, -87.7427009]","[41.9851252, -87.7450675]",170311203003,170311203003
666,848,On N Kostner Ave From W Lake St To W Maypole Ave,N Kostner Ave And W Lake St,N Kostner Ave And W Maypole Ave,"[41.8860604, -87.7356355]","[41.884559, -87.735592]",170312603001,170312603001
667,849,On N Laflin St From W Arbour Pl To W Lake St,N Laflin St And W Arbour Pl,N Laflin St And W Lake St,"[41.888246, -87.6644]","[41.885447, -87.664312]",170318330002,170318330002
668,850,On N Laramie Ave From W Concord Pl To W North Ave,N Laramie Ave And W Concord Pl,N Laramie Ave And W North Ave,"[41.91041, -87.755655]","[41.909576, -87.755772]",170312502001,170312502001
669,851,On N Lawndale Ave From W Argyle St To W Lawrence Ave,N Lawndale Ave And W Argyle St,N Lawndale Ave And W Lawrence Ave,"[41.9719512, -87.7208074]","[41.968342, -87.720683]",170311403022,170311403011
670,852,On N Leavitt St From W Kinzie St To W Grand Ave,N Leavitt St And W Kinzie St,N Leavitt St And W Grand Ave,"[41.8886446, -87.6817166]","[41.8907684, -87.6817972]",170312430002,170312430002
671,853,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave,N Lincoln Ave And N Kedzie Ave,N Lincoln Ave And W Peterson Ave,"[41.991475, -87.70906]","[41.990439, -87.707376]",170310207021,170310207024
672,854,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,N Lincoln Ave And N Whipple St,N Lincoln Ave And W Bryn Mawr Ave,"[41.988983, -87.705137]","[41.983139, -87.695232]",170310207011,170310402021
673,855,On N Homan Ave From W Fulton Blvd To W Lake St,N Homan Ave And W Fulton Blvd,N Homan Ave And W Lake St,"[41.886382, -87.711185]","[41.884708, -87.711131]",170318368001,170318368001
674,856,On S Greenwood Ave From E 65th St To E 67th St,S Greenwood Ave And E 65th St,S Greenwood Ave And E 67th St,"[41.776833, -87.599297]","[41.773189, -87.599667]",170318344003,170318418002
675,857,On S Hamilton Ave From S Archer Ave To W 37th St,S Hamilton Ave And S Archer Ave,S Hamilton Ave And W 37th St,"[41.829639, -87.678923]","[41.82669, -87.678833]",170315905001,170315905001
676,858,On W 54th St From S Linder Ave To S Laramie Ave,W 54th St And S Linder Ave,W 54th St And S Laramie Ave,"[41.7945773, -87.759905]","[41.794705, -87.752506]",170315607001,170318352001
677,859,On W 55th St From S Central Ave To S Laramie Ave,W 55th St And S Central Ave,W 55th St And S Laramie Ave,"[41.792736, -87.762197]","[41.792913, -87.752448]",170319801001,170318352001
678,860,On W 57th St From S Hermitage Ave To S Ashland Ave,W 57th St And S Hermitage Ave,W 57th St And S Ashland Ave,"[41.790345, -87.6681156]","[41.790425, -87.664572]",170316703002,170316703001
679,861,On W 57th St From S Mobile Ave To S Mason Ave,W 57th St And S Mobile Ave,W 57th St And S Mason Ave,"[41.7887352, -87.7786351]","[41.788912, -87.770652]",170315611006,170315611003
680,862,On W 59th St From S Kedzie Ave To S Rockwell St,W 59th St And S Kedzie Ave,W 59th St And S Rockwell St,"[41.786253, -87.703351]","[41.786519, -87.688729]",170316309001,170318351003
681,863,On W 59th St From S Narragansett Ave To S Melvina Ave,W 59th St And S Narragansett Ave,W 59th St And S Melvina Ave,"[41.7850387, -87.7815309]","[41.7850999, -87.7766612]",170315611006,170316403006
682,864,On W 60th St From S Paulina St To S Ashland Ave,W 60th St And S Paulina St,W 60th St And S Ashland Ave,"[41.784911, -87.66678]","[41.784961, -87.664449]",170316707001,170316707001
683,865,On W 62nd St From S New England Ave To S Oak Park Ave,W 62nd St And S New England Ave,W 62nd St And S Oak Park Ave,"[41.7793238, -87.7941562]","[41.779392, -87.791072]",170316404002,170316404002
684,866,On W 74th St From S St Louis Ave To S Homan Ave,W 74th St And S St Louis Ave,W 74th St And S Homan Ave,"[41.7588165, -87.7099765]","[41.7588325, -87.7074981]",170316611005,170316611002
685,867,On W 83rd St From S St Louis Ave To S Homan Ave,W 83rd St And S St Louis Ave,W 83rd St And S Homan Ave,"[41.742389, -87.7094988]","[41.742429, -87.7070607]",170317004011,170317004014
686,868,On W 87th St From S Paulina St To S Ashland Ave,W 87th St And S Paulina St,W 87th St And S Ashland Ave,"[41.7359425, -87.67281514999999]","[41.735849, -87.662999]",170317112004,170317111003
687,869,On W 54th St From S Central Ave To S Linder Ave,W 54th St And S Central Ave,W 54th St And S Linder Ave,"[41.794556, -87.762262]","[41.7945773, -87.759905]",170315607001,170315607001
688,870,On W Ainslie St From N Lavergne Ave To N Cicero Ave,W Ainslie St And N Lavergne Ave,W Ainslie St And N Cicero Ave,"[41.969739, -87.752689]","[41.9698071, -87.7478662]",170311105022,170311204003
689,871,On W Arthur Ave From N Harlem Ave To N Neva Ave,W Arthur Ave And N Harlem Ave,W Arthur Ave And N Neva Ave,"[41.9995078, -87.8067671]","[41.999497, -87.804884]",170311002006,170311002006
690,872,On W Belmont Ave From N Oconto Ave To N Harlem Ave,W Belmont Ave And N Oconto Ave,W Belmont Ave And N Harlem Ave,"[41.937991, -87.807935]","[41.937998, -87.80671]",170311708001,170311710006
691,873,On W Berenice Ave From N Narragansett Ave To N Mobile Ave,W Berenice Ave And N Narragansett Ave,W Berenice Ave And N Mobile Ave,"[41.950211, -87.7864031]","[41.950242, -87.783967]",170311702003,170311702003
692,874,On W Carroll Ave From N Homan Ave To N Albany Ave,W Carroll Ave And N Homan Ave,W Carroll Ave And N Albany Ave,"[41.887478, -87.711221]","[41.8875501, -87.7038568]",170318368001,170318371001
693,875,On W Catalpa Ave From N Paulina St To N Ashland Ave,W Catalpa Ave And N Paulina St,W Catalpa Ave And N Ashland Ave,"[41.9816162, -87.6722284]","[41.9816591, -87.6696969]",170310309001,170310309001
694,876,On W Congress Pkwy From S Wood St To S Ashland Ave,W Congress Pkwy And S Wood St,W Congress Pkwy And S Ashland Ave,"[41.875111, -87.671571]","[41.8752, -87.666715]",170318381003,170318381003
695,877,On W Eddy St From N Austin Ave To N Marmora Ave,W Eddy St And N Austin Ave,W Eddy St And N Marmora Ave,"[41.944871, -87.776436]","[41.944885, -87.774001]",170311512003,170311512003
696,878,On W Gunnison St From N Menard Ave To N Central Ave,W Gunnison St And N Menard Ave,W Gunnison St And N Central Ave,"[41.9686053, -87.7728297]","[41.968703, -87.767476]",170311504013,170311105021
697,879,On W Henderson St From N Melvina Ave To N Meade Ave,W Henderson St And N Melvina Ave,W Henderson St And N Meade Ave,"[41.9411213, -87.7811884]","[41.941169, -87.778739]",170311711002,170311711002
698,880,On W Lake St From N California Ave To N Washtenaw Ave,W Lake St And N California Ave,W Lake St And N Washtenaw Ave,"[41.884249, -87.696385]","[41.8843276, -87.6939339]",170318371002,170318371002
699,881,On W Lake St From N Central Park Ave To N Sacramento Blvd,W Lake St And N Central Park Ave,W Lake St And N Sacramento Blvd,"[41.8850454, -87.7168238]","[41.884076, -87.701307]",170318368001,170318371001
700,882,On W Ainslie St From N Menard Ave To W Grover St,W Ainslie St And N Menard Ave,W Ainslie St And W Grover St,"[41.969519, -87.773417]","[41.969605, -87.768461]",170311104002,170311104002
701,883,On W 53rd St From S Loomis Blvd To S Bishop St,W 53rd St And S Loomis Blvd,W 53rd St And S Bishop St,"[41.797752, -87.659814]","[41.797742, -87.6610343]",170316119002,170316119002
702,884,On W Lexington St From S Loomis St To S Ada St,W Lexington St And S Loomis St,W Lexington St And S Ada St,"[41.8725447, -87.6617323]","[41.872194, -87.660185]",170318329002,170312832001
703,885,On W 50th St From S Leavitt St To S Hoyne Ave,W 50th St And S Leavitt St,W 50th St And S Hoyne Ave,"[41.802998, -87.6790783]","[41.8030288, -87.6769709]",170316115002,170316115002
704,886,On S Hermitage Ave From W 69th St To W 70th St,S Hermitage Ave And W 69th St,S Hermitage Ave And W 70th St,"[41.76854, -87.6675756]","[41.766694, -87.6675503]",170316715003,170316715003
705,887,On S Honore St From W 72nd St To W 73rd St,S Honore St And W 72nd St,S Honore St And W 73rd St,"[41.76303, -87.669858]","[41.761209, -87.669822]",170316720002,170316720002
706,888,On S Hoyne Ave From W 49th Pl To W 50th St,S Hoyne Ave And W 49th Pl,S Hoyne Ave And W 50th St,"[41.8038236, -87.6769993]","[41.8030288, -87.6769709]",170316115002,170316115002
