,location_name,from,to,from_lat_long,to_lat_long
1817,On W 65th St From S Harvard Ave To S Yale Ave,W 65th St And S Harvard Ave,W 65th St And S Yale Ave,"[41.776532, -87.6333318]","[41.776562, -87.631717]"
1818,On W 72nd Pl From S Ashland Ave To S Bishop St,W 72nd Pl And S Ashland Ave,W 72nd Pl And S Bishop St,"[41.762189, -87.663656]","[41.762233, -87.660529]"
1819,On W 78th St From S Morgan St To S Halsted St,W 78th St And S Morgan St,W 78th St And S Halsted St,"[41.752385, -87.648951]","[41.752467, -87.644107]"
1820,On W 83rd St From S Hermitage Ave To S Ashland Ave,W 83rd St And S Hermitage Ave,W 83rd St And S Ashland Ave,"[41.743021, -87.666905]","[41.743071, -87.663358]"
1821,On W 95th Pl From S Throop St To S Racine Ave,W 95th Pl And S Throop St,W 95th Pl And S Racine Ave,"[41.720263, -87.655364]","[41.7203042, -87.652926]"
1822,On W Adams St From S California Ave To S Washtenaw Ave,W Adams St And S California Ave,W Adams St And S Washtenaw Ave,"[41.878368, -87.696226]","[41.8783816, -87.6937719]"
1823,On W Ardmore Ave From N Bernard St To N Jersey Ave,W Ardmore Ave And N Bernard St,W Ardmore Ave And N Jersey Ave,"[41.9866349, -87.71507]","[41.986686, -87.709932]"
1824,On W 41st Pl From S Kedzie Ave To S Sacramento Ave,W 41st Pl And S Kedzie Ave,W 41st Pl And S Sacramento Ave,"[41.818132, -87.704364]","[41.818179, -87.699411]"
1825,On W Monroe St From S Laramie Ave To S Lockwood Ave,W Monroe St And S Laramie Ave,W Monroe St And S Lockwood Ave,"[41.879393, -87.754989]","[41.879371, -87.7576529]"
1826,On W Montana St From N Racine Ave To N Seminary Ave,W Montana St And N Racine Ave,W Montana St And N Seminary Ave,"[41.926261, -87.658472]","[41.926304, -87.656053]"
1828,5050-5100 S Christiana Ave,5050 S Christiana Ave,5100 S Christiana Ave,"[41.80119476827662, -87.70750795935385]","[41.80033255561023, -87.7074784418978]"
1833,On W Wolfram St From N Greenview Ave To N Southport Ave,W Wolfram St And N Greenview Ave,W Wolfram St And N Southport Ave,"[41.933363, -87.665993]","[41.933411, -87.6635633]"
1834,On W Wilson Ave From N Lawler Ave To N Lavergne Ave,W Wilson Ave And N Lawler Ave,W Wilson Ave And N Lavergne Ave,"[41.9643065, -87.7537515]","[41.9643332, -87.7525486]"
1835,On W Waveland Ave From N Hoyne Ave To N Lincoln Ave,W Waveland Ave And N Hoyne Ave,W Waveland Ave And N Lincoln Ave,"[41.948647, -87.681006]","[41.948779, -87.674981]"
1836,On W Warren Blvd From N Leavitt St To N Damen Ave,W Warren Blvd And N Leavitt St,W Warren Blvd And N Damen Ave,"[41.882194, -87.681582]","[41.8822439, -87.6767199]"
1837,5100-5258 S Troy St,5100 S Troy St,5258 S Troy St,"[41.80028843728262, -87.70258788813835]","[41.797312, -87.702796]"
1838,On W Wabansia Ave From N Sawyer Ave To N Kedzie Ave,W Wabansia Ave And N Sawyer Ave,W Wabansia Ave And N Kedzie Ave,"[41.911917, -87.708472]","[41.9119566, -87.7067465]"
1839,On W Summerdale Ave From N Ozanam Ave To N Oriole Ave,W Summerdale Ave And N Ozanam Ave,W Summerdale Ave And N Oriole Ave,"[41.976899, -87.821802]","[41.9770026, -87.8169151]"
1840,On W Sherwin Ave From N California Ave To N Washtenaw Ave,W Sherwin Ave And N California Ave,W Sherwin Ave And N Washtenaw Ave,"[42.014829, -87.699677]","[42.014875, -87.697319]"
1841,On W Quincy St From S Laramie Ave To S Lockwood Ave,W Quincy St And S Laramie Ave,W Quincy St And S Lockwood Ave,"[41.8775792, -87.7549312]","[41.877547, -87.7576028]"
1843,On W Ontario St From N Kingsbury St To N Orleans St,W Ontario St And N Kingsbury St,W Ontario St And N Orleans St,"[41.8930988, -87.6411551]","[41.8931507, -87.6370596]"
1844,On W Oakdale Ave From N Ashland Ave To N Greenview Ave,W Oakdale Ave And N Ashland Ave,W Oakdale Ave And N Greenview Ave,"[41.935157, -87.668552]","[41.935205, -87.666095]"
1845,On W Newport Ave From N Wolcott Ave To N Damen Ave,W Newport Ave And N Wolcott Ave,W Newport Ave And N Damen Ave,"[41.944172, -87.676045]","[41.9441294, -87.67847]"
1846,On W Nelson St From N Lakewood Ave To N Racine Ave,W Nelson St And N Lakewood Ave,W Nelson St And N Racine Ave,"[41.9370889, -87.6612648]","[41.937102, -87.658853]"
1847,8808-8864 S Yale Ave,8808 S Yale Ave,8864 S Yale Ave,"[41.7341445, -87.631019]","[41.73363709725571, -87.63072654939934]"
1848,On W Nelson St From N Greenview Ave To N Paulina St,W Nelson St And N Greenview Ave,W Nelson St And N Paulina St,"[41.936996, -87.666123]","[41.936959, -87.670958]"
1849,4700-5300 S Damen Ave,4700 S Damen Ave,5300 S Damen Ave,"[41.808391897644064, -87.67473880650923]","[41.797433, -87.674815]"
1854,On W Wrightwood Ave From N Racine Ave To N Lincoln Ave,W Wrightwood Ave And N Racine Ave,W Wrightwood Ave And N Lincoln Ave,"[41.928935, -87.658583]","[41.929031, -87.653734]"
1855,On W Winnemac Ave From N California Ave To N Washtenaw Ave,W Winnemac Ave And N California Ave,W Winnemac Ave And N Washtenaw Ave,"[41.973095, -87.698841]","[41.9731299, -87.6964188]"
1856,On W Webster Ave From N Larrabee St To N Cleveland Ave,W Webster Ave And N Larrabee St,W Webster Ave And N Cleveland Ave,"[41.92191, -87.643771]","[41.921926, -87.641336]"
1857,On W Washington Blvd From N Elizabeth St To N Ada St,W Washington Blvd And N Elizabeth St,W Washington Blvd And N Ada St,"[41.882982, -87.658801]","[41.882946, -87.660628]"
1858,On W Walton St From N Kilbourn Ave To N Keeler Ave,W Walton St And N Kilbourn Ave,W Walton St And N Keeler Ave,"[41.8979394, -87.7372854]","[41.898023, -87.7310892]"
1859,On W Van Buren Stn From S Leavitt St To S Ashland Ave,W Van Buren Stn And S Leavitt St,W Van Buren Stn And S Ashland Ave,"[41.876187, -87.681416]","[41.876388, -87.666746]"
1860,On W Summerdale Ave From W Berwyn Ave To N Oketo Ave,W Summerdale Ave And W Berwyn Ave,W Summerdale Ave And N Oketo Ave,"[41.977104, -87.807075]","[41.9770001, -87.8119965]"
1861,On W Sherwin Ave From N Sacramento Ave To N Albany Ave,W Sherwin Ave And N Sacramento Ave,W Sherwin Ave And N Albany Ave,"[42.0146955, -87.7044184]","[42.0146517, -87.7067417]"
1862,On W School St From N Greenview Ave To N Southport Ave,W School St And N Greenview Ave,W School St And N Southport Ave,"[41.941568, -87.666275]","[41.94162, -87.663882]"
1863,On W Rascher Ave From N Mobile Ave To N Melvina Ave,W Rascher Ave And N Mobile Ave,W Rascher Ave And N Melvina Ave,"[41.9801988, -87.7853701]","[41.9802014, -87.7835249]"
1864,On W Pope John Paul Ii Dr From S Western Ave To S Rockwell St,W Pope John Paul Ii Dr And S Western Ave,W Pope John Paul Ii Dr And S Rockwell St,"[41.815722, -87.684654]","[41.815589, -87.689508]"
1865,On W Polk St From S Dan Ryan Expy To S Shields Ave,W Polk St And S Dan Ryan Expy,W Polk St And S Shields Ave,"[41.8719689, -87.6446372]","[41.871468050000004, -87.6781956]"
1866,On W Oakdale Ave From N Racine Ave To N Sheffield Ave,W Oakdale Ave And N Racine Ave,W Oakdale Ave And N Sheffield Ave,"[41.935283, -87.658785]","[41.935355, -87.653937]"
1867,On W North Shore Ave From N Whipple St To N Sacramento Ave,W North Shore Ave And N Whipple St,W North Shore Ave And N Sacramento Ave,"[42.002897, -87.70582]","[42.002921, -87.704601]"
1868,On W North Ave From N Austin Ave To N Laramie Ave,W North Ave And N Austin Ave,W North Ave And N Laramie Ave,"[41.909322, -87.775501]","[41.909467, -87.755801]"
1869,On W Newport Ave From N Seminary Ave To N Lakewood Ave,W Newport Ave And N Seminary Ave,W Newport Ave And N Lakewood Ave,"[41.9444391, -87.6566667]","[41.944367, -87.661511]"
1870,5000-5200 S Spaulding Ave,5000 S Spaulding Ave,5200 S Spaulding Ave,"[41.802501, -87.706581]","[41.798829, -87.706504]"
1872,On E 87th St From S Colfax Ave To S Essex Ave,E 87th St And S Colfax Ave,E 87th St And S Essex Ave,"[41.737245, -87.561173]","[41.737214, -87.563635]"
1873,On E 87th St From S Muskegon Ave To S Escanaba Ave,E 87th St And S Muskegon Ave,E 87th St And S Escanaba Ave,"[41.73732, -87.555093]","[41.737339, -87.553876]"
1874,On E 88th St From S Colfax Ave To S Marquette Ave,E 88th St And S Colfax Ave,E 88th St And S Marquette Ave,"[41.7354537, -87.5611001]","[41.73545, -87.55831]"
1875,On S Saginaw Ave From E 87th St To E 88th St,S Saginaw Ave And E 87th St,S Saginaw Ave And E 88th St,"[41.737265, -87.559954]","[41.7354537, -87.5596946]"
1877,On E 87th St From S Colfax Ave To S Saginaw Ave,E 87th St And S Colfax Ave,E 87th St And S Saginaw Ave,"[41.737245, -87.561173]","[41.737265, -87.559954]"
1878,On E 87th St From S Saginaw Ave To S Muskegon Ave,E 87th St And S Saginaw Ave,E 87th St And S Muskegon Ave,"[41.737265, -87.559954]","[41.73732, -87.555093]"
1879,On E 89th St From S Muskegon Ave To S Escanaba Ave,E 89th St And S Muskegon Ave,E 89th St And S Escanaba Ave,"[41.733687, -87.555487]","[41.733695, -87.554108]"
1880,On S South Chicago Ave From S Kingston Ave To S Essex Ave,S South Chicago Ave And S Kingston Ave,S South Chicago Ave And S Essex Ave,"[41.735061, -87.5628349]","[41.7357226, -87.5637192]"
1881,On E 87th St From S Marquette Ave To S Escanaba Ave,E 87th St And S Marquette Ave,E 87th St And S Escanaba Ave,"[41.737282, -87.558367]","[41.737339, -87.553876]"
1882,On E 88th St From S Colfax Ave To S Kingston Ave,E 88th St And S Colfax Ave,E 88th St And S Kingston Ave,"[41.7354537, -87.5611001]","[41.73537, -87.562382]"
1883,On S Marquette Ave From E 88th St To E 87th St,S Marquette Ave And E 88th St,S Marquette Ave And E 87th St,"[41.73545, -87.55831]","[41.737278, -87.558701]"
1886,On E 107th St From S Avenue O To S State Line Rd,E 107th St And S Avenue O,E 107th St And S State Line Rd,"[41.70094, -87.540083]","[41.70085, -87.524538]"
1887,On S Albany Ave From W 83rd St To W 82nd St,S Albany Ave And W 83rd St,S Albany Ave And W 82nd St,"[41.742551, -87.699322]","[41.744371, -87.699815]"
1888,On E 67th St From S Paxton Ave To S Crandon Ave,E 67th St And S Paxton Ave,E 67th St And S Crandon Ave,"[41.773515, -87.571604]","[41.773535, -87.569984]"
1889,On S Paxton Ave From E 69th St To E 67th St,S Paxton Ave And E 69th St,S Paxton Ave And E 67th St,"[41.76989, -87.57152]","[41.773515, -87.571604]"
1890,On E 67th St From S Paxton Ave To S Merrill Ave,E 67th St And S Paxton Ave,E 67th St And S Merrill Ave,"[41.773515, -87.571604]","[41.773498, -87.572821]"
1891,On E 70th Pl From S Paxton Ave To S Oglesby Ave,E 70th Pl And S Paxton Ave,E 70th Pl And S Oglesby Ave,"[41.767136, -87.571455]","[41.767152, -87.568169]"
1892,On S Archer Ave From S Western Ave To W 37th St,S Archer Ave And S Western Ave,S Archer Ave And W 37th St,"[41.825931, -87.684894]","[41.829971, -87.678525]"
1893,On W 37th St From S Archer Ave To S Paulina St,W 37th St And S Archer Ave,W 37th St And S Paulina St,"[41.8298016, -87.6787968]","[41.826823, -87.667855]"
1894,On E 102nd St From S Oglesby Ave To S Van Vlissingen Rd,E 102nd St And S Oglesby Ave,E 102nd St And S Van Vlissingen Rd,"[41.70988, -87.565755]","[41.709827, -87.569017]"
1896,On W 65th St From S Kedzie Ave To S Whipple St,W 65th St And S Kedzie Ave,W 65th St And S Whipple St,"[41.775322, -87.703068]","[41.7753864, -87.6993968]"
1897,On W 66th St From S Western Ave To S Bell Ave,W 66th St And S Western Ave,W 66th St And S Bell Ave,"[41.773781, -87.68345]","[41.773824, -87.67974]"
1898,On W 81st St From S May St To S Throop St,W 81st St And S May St,W 81st St And S Throop St,"[41.746866, -87.652428]","[41.746795, -87.656049]"
1899,On W 93rd St From S Perry Ave To S Lafayette Ave,W 93rd St And S Perry Ave,W 93rd St And S Lafayette Ave,"[41.725342, -87.626341]","[41.725353, -87.625168]"
1900,On W Balmoral Ave From N Neenah Ave To N Nagle Ave,W Balmoral Ave And N Neenah Ave,W Balmoral Ave And N Nagle Ave,"[41.9792577, -87.7902337]","[41.9792696, -87.7878162]"
1901,On W Granville Ave From N Hamlin Ave To N Ridgeway Ave,W Granville Ave And N Hamlin Ave,W Granville Ave And N Ridgeway Ave,"[41.9937259, -87.7239132]","[41.9937239, -87.7226875]"
1906,150-200 E 109th St,150 E 109th St,200 E 109th St,"[41.69627056975157, -87.62282250384179]","[41.6940017, -87.5993933]"
1907,5350-5458 S Hoyne Ave,5350 S Hoyne Ave,5458 S Hoyne Ave,"[41.796076, -87.677151]","[41.79588518973424, -87.67685656208864]"
1908,1600-1640 W 100th Pl,1600 W 100th Pl,1640 W 100th Pl,"[41.711198051690666, -87.66705968997958]","[41.71146, -87.664273]"
1909,1600-1620 W 102nd St,1600 W 102nd St,1620 W 102nd St,"[41.70832352784749, -87.66243474777477]","[41.708488, -87.6632]"
1910,1438-1532 W 66th St,1438 W 66th St,1532 W 66th St,"[41.77411551901689, -87.66081143135807]","[41.77407414599813, -87.66323174144371]"
1911,5300-5350 W Harrison St,5300 W Harrison St,5350 W Harrison St,"[41.873122, -87.757581]","[41.872965793572796, -87.7581889800831]"
1913,On W 25th Pl From S Pulaski Rd To S Avers Ave,W 25th Pl And S Pulaski Rd,W 25th Pl And S Avers Ave,"[41.845157, -87.724582]","[41.846139, -87.720924]"
1914,On W Kamerling Ave From N Keeler Ave To N Karlov Ave,W Kamerling Ave And N Keeler Ave,W Kamerling Ave And N Karlov Ave,"[41.9053121, -87.731315]","[41.9053448, -87.728837]"
1915,On W 116th St From S Wentworth Ave To S State St,W 116th St And S Wentworth Ave,W 116th St And S State St,"[41.682483, -87.62761]","[41.682538, -87.622812]"
1916,On W 18th St From S Hoyne Ave To S Damen Ave,W 18th St And S Hoyne Ave,W 18th St And S Damen Ave,"[41.8576896, -87.6784551]","[41.857722, -87.676019]"
1917,On E 73rd St From S Constance Ave To S Bennett Ave,E 73rd St And S Constance Ave,E 73rd St And S Bennett Ave,"[41.762481, -87.58052]","[41.762503, -87.579262]"
1918,On N Hoyne Ave From W Walton St To W Cortez St,N Hoyne Ave And W Walton St,N Hoyne Ave And W Cortez St,"[41.8986098, -87.6795941]","[41.9004216, -87.6796149]"
1919,On N Laporte Ave From W Montrose Ave To W Wilson Ave,N Laporte Ave And W Montrose Ave,N Laporte Ave And W Wilson Ave,"[41.960693, -87.751182]","[41.9643421, -87.7513273]"
1920,On N Lowell Ave From W Altgeld St To W Fullerton Ave,N Lowell Ave And W Altgeld St,N Lowell Ave And W Fullerton Ave,"[41.926211, -87.735387]","[41.924349, -87.73533]"
1921,On N Oakley Ave From W Fullerton Ave To W Belden Ave,N Oakley Ave And W Fullerton Ave,N Oakley Ave And W Belden Ave,"[41.924892, -87.685185]","[41.923406, -87.685134]"
1922,On N Parkside Ave From W Grand Ave To W Palmer St,N Parkside Ave And W Grand Ave,N Parkside Ave And W Palmer St,"[41.918994, -87.76701]","[41.920304, -87.767055]"
1925,On S Throop St From W 81st St To W 82nd St,S Throop St And W 81st St,S Throop St And W 82nd St,"[41.746795, -87.656049]","[41.744993, -87.656028]"
1926,On S La Salle St From W 116th St To W 117th St,S La Salle St And W 116th St,S La Salle St And W 117th St,"[41.68249, -87.626424]","[41.681614, -87.626406]"
1927,On S Lockwood Ave From W Congress Pkwy To W Harrison St,S Lockwood Ave And W Congress Pkwy,S Lockwood Ave And W Harrison St,"[41.8739231, -87.7574604]","[41.8729297, -87.7574222]"
1928,On S Muskegon Ave From E 130th St To E 131st St,S Muskegon Ave And E 130th St,S Muskegon Ave And E 131st St,"[41.659179, -87.554423]","[41.657366, -87.554433]"
1929,On S Normal Ave From W 46th Pl To W 45th Pl,S Normal Ave And W 46th Pl,S Normal Ave And W 45th Pl,"[41.809946, -87.638244]","[41.8117629, -87.6383188]"
1930,On S Peoria St From W 116th Pl To W 118th St,S Peoria St And W 116th Pl,S Peoria St And W 118th St,"[41.682352, -87.644601]","[41.679587, -87.644413]"
1931,On S Prospect Ave From W 100th Pl To W Beverly Glen Pkwy,S Prospect Ave And W 100th Pl,S Prospect Ave And W Beverly Glen Pkwy,"[41.7112292, -87.6625397]","[41.712911, -87.662997]"
1932,On S Ridgeland Ave From E 79th St To S South Chicago Ave,S Ridgeland Ave And E 79th St,S Ridgeland Ave And S South Chicago Ave,"[41.751541, -87.581685]","[41.7487191, -87.5817103]"
1933,On S Emerald Ave From W 37th St To W 38th St,S Emerald Ave And W 37th St,S Emerald Ave And W 38th St,"[41.827155, -87.64479]","[41.825328, -87.644753]"
1934,On W Adams St From S Central Ave To S Menard Ave,W Adams St And S Central Ave,W Adams St And S Menard Ave,"[41.87836, -87.764756]","[41.877691, -87.769623]"
1935,On W 87th St From S Union Ave To S Wallace St,W 87th St And S Union Ave,W 87th St And S Wallace St,"[41.736275, -87.641196]","[41.735892, -87.63875]"
1936,On W 68th St From S Western Ave To S Bell Ave,W 68th St And S Western Ave,W 68th St And S Bell Ave,"[41.770137, -87.683494]","[41.770199, -87.679642]"
1937,On W 46th Pl From S Wallace St To S Normal Ave,W 46th Pl And S Wallace St,W 46th Pl And S Normal Ave,"[41.809907, -87.640693]","[41.809946, -87.638244]"
1938,On W 64th St From S Central Ave To S Major Ave,W 64th St And S Central Ave,W 64th St And S Major Ave,"[41.7762432, -87.7616515]","[41.776207, -87.76409]"
1939,On W 60th St From S Hamlin Ave To S Lawndale Ave,W 60th St And S Hamlin Ave,W 60th St And S Lawndale Ave,"[41.78419, -87.718014]","[41.784207, -87.715551]"
1940,On W Balmoral Ave From N Neenah Ave To N Nashville Ave,W Balmoral Ave And N Neenah Ave,W Balmoral Ave And N Nashville Ave,"[41.9792577, -87.7902337]","[41.9792439, -87.7914419]"
1941,On W 66th St From S Ashland Ave To S Justine St,W 66th St And S Ashland Ave,W 66th St And S Justine St,"[41.774017, -87.664155]","[41.774028, -87.662861]"
1946,5600-5630 N Parkside Ave,5600 N Parkside Ave,5630 N Parkside Ave,"[41.98462722150512, -87.7695808446458]","[41.983887, -87.769884]"
1947,5100-5160 S Indiana Ave,5100 S Indiana Ave,5160 S Indiana Ave,"[41.801721, -87.621503]","[41.8001721, -87.6214527]"
1948,1700-1800 W 100th St,1700 W 100th St,1800 W 100th St,"[41.712343, -87.665039]","[41.71210296379107, -87.66742538873078]"
1949,1840-1860 W 115th St,1840 W 115th St,1860 W 115th St,"[41.6847511996585, -87.66727652781744]","[41.68474535021079, -87.66756870340461]"
1950,700-720 W 87th St,700 W 87th St,720 W 87th St,"[41.736632, -87.641356]","[41.736556, -87.642044]"
1951,On W Palmer St From N Parkside Ave To N Mango Ave,W Palmer St And N Parkside Ave,W Palmer St And N Mango Ave,"[41.920304, -87.767055]","[41.920297, -87.769484]"
1952,On W 18th St From S Hoyne Ave To S Leavitt St,W 18th St And S Hoyne Ave,W 18th St And S Leavitt St,"[41.8576896, -87.6784551]","[41.857635, -87.6808965]"
1953,On W 117th St From S Morgan St To S Peoria St,W 117th St And S Morgan St,W 117th St And S Peoria St,"[41.6813819, -87.6469042]","[41.681426, -87.6444688]"
1954,On S Wentworth Ave From W 95th St To W 94th St,S Wentworth Ave And W 95th St,S Wentworth Ave And W 94th St,"[41.721696, -87.628657]","[41.723567, -87.628676]"
1955,On E 117th St From S Prairie Ave To S Calumet Ave,E 117th St And S Prairie Ave,E 117th St And S Calumet Ave,"[41.6813829, -87.6166768]","[41.6813869, -87.6147081]"
1956,On E 75th St From S Indiana Ave To S Eberhart Ave,E 75th St And S Indiana Ave,E 75th St And S Eberhart Ave,"[41.758306, -87.61993]","[41.758433, -87.612699]"
1957,On N Hamlin Ave From W Devon Ave To W Granville Ave,N Hamlin Ave And W Devon Ave,N Hamlin Ave And W Granville Ave,"[41.997162, -87.724015]","[41.9937259, -87.7239132]"
1958,On N Lawndale Ave From W Berteau Ave To W Cullom Ave,N Lawndale Ave And W Berteau Ave,N Lawndale Ave And W Cullom Ave,"[41.9574, -87.7203809]","[41.9592111, -87.7204265]"
1959,On N Neenah Ave From W Balmoral Ave To W Higgins Ave,N Neenah Ave And W Balmoral Ave,N Neenah Ave And W Higgins Ave,"[41.9792577, -87.7902337]","[41.977029, -87.79028]"
1960,On N Oriole Ave From W Forest Preserve Ave To W Irving Park Rd,N Oriole Ave And W Forest Preserve Ave,N Oriole Ave And W Irving Park Rd,"[41.949117, -87.8169]","[41.95254, -87.817043]"
1961,On E 102nd St From S Yates Ave To S Oglesby Ave,E 102nd St And S Yates Ave,E 102nd St And S Oglesby Ave,"[41.709897, -87.564542]","[41.70988, -87.565755]"
1962,On S Knox Ave From W 63rd St To W 62nd St,S Knox Ave And W 63rd St,S Knox Ave And W 62nd St,"[41.778458, -87.738634]","[41.7802989, -87.738679]"
1963,On S Lowe Ave From W 88th St To W 87th St,S Lowe Ave And W 88th St,S Lowe Ave And W 87th St,"[41.734328, -87.639921]","[41.736145, -87.639983]"
1964,On S Muskegon Ave From E 78th St To E 79th St,S Muskegon Ave And E 78th St,S Muskegon Ave And E 79th St,"[41.753683, -87.555562]","[41.751872, -87.555325]"
1965,On S Normal Ave From W 88th St To W 87th St,S Normal Ave And W 88th St,S Normal Ave And W 87th St,"[41.7343764, -87.6362719]","[41.735899, -87.636325]"
1966,On S Perry Ave From W 116th St To W 115th St,S Perry Ave And W 116th St,S Perry Ave And W 115th St,"[41.6825087, -87.6252491]","[41.685288, -87.625348]"
1967,On S Prospect Ave From W 101st Pl To W 102nd St,S Prospect Ave And W 101st Pl,S Prospect Ave And W 102nd St,"[41.709001, -87.662322]","[41.708281, -87.66225]"
1968,On S Ridgeway Ave From W 78th Pl To W Pippin St,S Ridgeway Ave And W 78th Pl,S Ridgeway Ave And W Pippin St,"[41.7504735, -87.7161817]","[41.7536129, -87.7162912]"
1969,On S Damen Ave From W 18th St To W 17th St,S Damen Ave And W 18th St,S Damen Ave And W 17th St,"[41.857722, -87.676019]","[41.858627, -87.676048]"
1970,On W 91st St From S Perry Ave To S Princeton Ave,W 91st St And S Perry Ave,W 91st St And S Princeton Ave,"[41.7290124, -87.6264409]","[41.728967, -87.631039]"
1971,On W 78th St From S Damen Ave To S Hamilton Ave,W 78th St And S Damen Ave,W 78th St And S Hamilton Ave,"[41.752036, -87.673204]","[41.7524352, -87.6767476]"
1972,On W 54th St From S Damen Ave To S Hoyne Ave,W 54th St And S Damen Ave,W 54th St And S Hoyne Ave,"[41.795796, -87.674346]","[41.7957395, -87.6767939]"
1973,On W 65th St From S Fairfield Ave To S Sacramento Ave,W 65th St And S Fairfield Ave,W 65th St And S Sacramento Ave,"[41.7754803, -87.6921106]","[41.7753825, -87.698171]"
1974,On W Altgeld St From N Keeler Ave To N Lowell Ave,W Altgeld St And N Keeler Ave,W Altgeld St And N Lowell Ave,"[41.926278, -87.731727]","[41.926211, -87.735387]"
1975,On W 66th St From S Damen Ave To S Hamilton Ave,W 66th St And S Damen Ave,W 66th St And S Hamilton Ave,"[41.773901, -87.673757]","[41.7738447, -87.6773971]"
1976,On W Cullom Ave From N Ridgeway Ave To N Central Park Ave,W Cullom Ave And N Ridgeway Ave,W Cullom Ave And N Central Park Ave,"[41.959201, -87.721633]","[41.959239, -87.7179965]"
1978,On W Sunnyside Ave From N Laporte Ave To N Lavergne Ave,W Sunnyside Ave And N Laporte Ave,W Sunnyside Ave And N Lavergne Ave,"[41.962506, -87.751273]","[41.9624932, -87.7524703]"
1982,11450-11500 S Homewood Ave,11450 S Homewood Ave,11500 S Homewood Ave,"[41.684986, -87.670803]","[41.68501294773493, -87.67062704549427]"
1983,10050-10100 S Prospect Ave,10050 S Prospect Ave,10100 S Prospect Ave,"[41.710676027599064, -87.66250656553076]","[41.70958314535712, -87.66241328597182]"
1984,1600-1650 W 101st St,1600 W 101st St,1650 W 101st St,"[41.7101184499298, -87.66365042474222]","[41.71011202307647, -87.66414431253509]"
1985,On W 24th St From S Pulaski Rd To S Avers Ave,W 24th St And S Pulaski Rd,W 24th St And S Avers Ave,"[41.84791, -87.724656]","[41.847981, -87.7209759]"
1986,On W Hollywood Ave From N Bernard St To N Central Park Ave,W Hollywood Ave And N Bernard St,W Hollywood Ave And N Central Park Ave,"[41.984798, -87.715046]","[41.9847728, -87.7186975]"
1987,On W 117th St From S Normal Ave To S Stewart Ave,W 117th St And S Normal Ave,W 117th St And S Stewart Ave,"[41.6815342, -87.6348035]","[41.6815712, -87.632357]"
1988,On S La Salle St From W 116th St To W 115th St,S La Salle St And W 116th St,S La Salle St And W 115th St,"[41.68249, -87.626424]","[41.685275, -87.626535]"
1989,On S Ridgeway Ave From W 79th St To W 78th St,S Ridgeway Ave And W 79th St,S Ridgeway Ave And W 78th St,"[41.749678, -87.716168]","[41.7514572, -87.7161997]"
1990,On E 109th St From S Dr Martin Luther King Jr Dr To S Indiana Ave,E 109th St And S Dr Martin Luther King Jr Dr,E 109th St And S Indiana Ave,"[41.696366, -87.613478]","[41.6962912, -87.6183423]"
1991,On E 131st St From S Exchange Ave To S Marquette Ave,E 131st St And S Exchange Ave,E 131st St And S Marquette Ave,"[41.657371, -87.551988]","[41.657377, -87.556863]"
1992,On E 75th St From S Wabash Ave To S Indiana Ave,E 75th St And S Wabash Ave,E 75th St And S Indiana Ave,"[41.758241, -87.623153]","[41.758306, -87.61993]"
1993,On N Hamlin Ave From W Irving Park Rd To N Elston Ave,N Hamlin Ave And W Irving Park Rd,N Hamlin Ave And N Elston Ave,"[41.953687, -87.722717]","[41.9561989, -87.7227932]"
1994,On N Karlov Ave From W Crystal St To W Grand Ave,N Karlov Ave And W Crystal St,N Karlov Ave And W Grand Ave,"[41.903573, -87.7288]","[41.9071703, -87.728876]"
1995,On N Leclaire Ave From W Argyle St To W Gunnison St,N Leclaire Ave And W Argyle St,N Leclaire Ave And W Gunnison St,"[41.9715888, -87.7551621]","[41.968797, -87.755075]"
1996,On N Oriole Ave From W Ibsen St To W Estes Ave,N Oriole Ave And W Ibsen St,N Oriole Ave And W Estes Ave,"[42.0060043, -87.8164539]","[42.009646, -87.816403]"
1997,On S Bennett Ave From E 74th St To E 73rd St,S Bennett Ave And E 74th St,S Bennett Ave And E 73rd St,"[41.760644, -87.579254]","[41.762503, -87.579262]"
1998,On S Eggleston Ave From W 116th St To W 118th St,S Eggleston Ave And W 116th St,S Eggleston Ave And W 118th St,"[41.683362, -87.633657]","[41.6797233, -87.6335268]"
1999,On S Lawndale Ave From W 59th St To W 63rd St,S Lawndale Ave And W 59th St,S Lawndale Ave And W 63rd St,"[41.786065, -87.715607]","[41.778768, -87.715402]"
2000,On S Menard Ave From W 65th St To W 63rd St,S Menard Ave And W 65th St,S Menard Ave And W 63rd St,"[41.7743, -87.766456]","[41.777989, -87.766585]"
2001,On S Normal Ave From W 44th St To W 44th Pl,S Normal Ave And W 44th St,S Normal Ave And W 44th Pl,"[41.8144577, -87.6383832]","[41.8135701, -87.6383457]"
2002,On S Parnell Ave From W 43rd St To W 43rd Pl,S Parnell Ave And W 43rd St,S Parnell Ave And W 43rd Pl,"[41.8163068, -87.6393327]","[41.8153773, -87.6393059]"
2003,On S Prairie Ave From E 116th St To E 117th St,S Prairie Ave And E 116th St,S Prairie Ave And E 117th St,"[41.6825968, -87.6167358]","[41.6813829, -87.6166768]"
2004,On S Prospect Ave From W 101st St To W 102nd St,S Prospect Ave And W 101st St,S Prospect Ave And W 102nd St,"[41.71009, -87.66238]","[41.708281, -87.66225]"
