,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
654,[170 -02] 38309,On S Hartwell Ave From E Marquette Rd To E 66th Pl,2018-2022,S Hartwell Ave And E Marquette Rd,S Hartwell Ave And E 66th Pl,"[41.77284, -87.621496]","[41.7741117, -87.6215168]"
655,[170 -02] 38309,On S Whipple St From W 107th St To W 106th St,2018-2022,S Whipple St And W 107th St,S Whipple St And W 106th St,"[41.6989356, -87.697566]","[41.7007475, -87.6976212]"
656,[170 -02] 38309,On S Homan Ave From W 53rd St To W 54th Pl,2018-2022,S Homan Ave And W 53rd St,S Homan Ave And W 54th Pl,"[41.7970949, -87.7085611]","[41.794377, -87.708448]"
657,[170 -02] 38309,On S Kenneth Ave From W 55th St To W 54th St,2018-2022,S Kenneth Ave And W 55th St,S Kenneth Ave And W 54th St,"[41.7931228, -87.7342364]","[41.794955, -87.7342594]"
658,[170 -02] 38309,On S Michigan Ave From E Marquette Rd To E 66th Pl,2018-2022,S Michigan Ave And E Marquette Rd,S Michigan Ave And E 66th Pl,"[41.77282, -87.622705]","[41.774081, -87.622765]"
659,[170 -02] 38309,On S Oakley Ave From W 50th St To W 50th Pl,2018-2022,S Oakley Ave And W 50th St,S Oakley Ave And W 50th Pl,"[41.8029794, -87.6818359]","[41.8020716, -87.6818037]"
660,[170 -02] 38309,On S Springfield Ave From W 59th Pl To W 61st Pl,2018-2022,S Springfield Ave And W 59th Pl,S Springfield Ave And W 61st Pl,"[41.78505, -87.720468]","[41.7814254, -87.7203878]"
661,[170 -02] 38309,On S Union Ave From W 106th St To W 105th St,2018-2022,S Union Ave And W 106th St,S Union Ave And W 105th St,"[41.701473, -87.640253]","[41.702771, -87.640275]"
662,[170 -02] 38309,On N Richmond St From N Lincoln Ave To W Peterson Ave,2018-2022,N Richmond St And N Lincoln Ave,N Richmond St And W Peterson Ave,"[41.987991, -87.703281]","[41.9904184, -87.7030472]"
663,[170 -02] 38309,On W Glenlake Ave From N Keeler Ave To N Tripp Ave,2018-2022,W Glenlake Ave And N Keeler Ave,W Glenlake Ave And N Tripp Ave,"[41.9919265, -87.7337284]","[41.9919534, -87.734945]"
664,[170 -02] 38309,On W Cullerton St From S Karlov Ave To S Kostner Ave,2018-2022,W Cullerton St And S Karlov Ave,W Cullerton St And S Kostner Ave,"[41.8543508, -87.7272642]","[41.85427, -87.734591]"
665,[170 -02] 38309,On W Cortland St From N Long Ave To N Luna Ave,2018-2022,W Cortland St And N Long Ave,W Cortland St And N Luna Ave,"[41.9144232, -87.7607413]","[41.9143616, -87.7644056]"
666,[170 -02] 38309,On W Carmen Ave From N Kostner Ave To N Kilbourn Ave,2018-2022,W Carmen Ave And N Kostner Ave,W Carmen Ave And N Kilbourn Ave,"[41.9736129, -87.7380627]","[41.9735822, -87.7406109]"
667,[170 -02] 38309,On W 46th St From S Pulaski Rd To S Keeler Ave,2018-2022,W 46th St And S Pulaski Rd,W 46th St And S Keeler Ave,"[41.809718, -87.723731]","[41.809639, -87.728513]"
668,[170 -02] 38309,On W 91st St From S Hoyne Ave To S Claremont Ave,2018-2022,W 91st St And S Hoyne Ave,W 91st St And S Claremont Ave,"[41.728347, -87.674538]","[41.728262, -87.681064]"
669,[170 -02] 38309,On W 60th St From S Pulaski Rd To S Springfield Ave,2018-2022,W 60th St And S Pulaski Rd,W 60th St And S Springfield Ave,"[41.784109, -87.722989]","[41.784136, -87.720452]"
670,[170 -02] 38309,On W 54th St From S Kedzie Ave To S St Louis Ave,2018-2022,W 54th St And S Kedzie Ave,W 54th St And S St Louis Ave,"[41.795378, -87.7036]","[41.7952034, -87.7109268]"
671,[170 -02] 38309,On W Leland Ave From N Kedzie Ave To N Spaulding Ave,2018-2022,W Leland Ave And N Kedzie Ave,W Leland Ave And N Spaulding Ave,"[41.966662, -87.708424]","[41.966649, -87.710889]"
672,[170 -02] 38309,On W Argyle St From N Damen Ave To N Hoyne Ave,2018-2022,W Argyle St And N Damen Ave,W Argyle St And N Hoyne Ave,"[41.972398, -87.679317]","[41.97235, -87.681716]"
673,[170 -02] 38309,On W Moffat St From N Leavitt St To N Hoyne Ave,2018-2022,W Moffat St And N Leavitt St,W Moffat St And N Hoyne Ave,"[41.9153815, -87.6824533]","[41.9154247, -87.6800219]"
674,[170 -02] 38309,W 106th St And S Sacramento Ave,2018-2022,W 106th St And S Sacramento Ave,,"[41.7007578, -87.6965324]",
675,[170 -02] 38309,On W School St From N Olcott Ave To N Oleander Ave,2018-2022,W School St And N Olcott Ave,W School St And N Oleander Ave,"[41.93968, -87.814106]","[41.93965, -87.815324]"
676,[170 -02] 38309,On W Wabansia Ave From N Narragansett Ave To N Nashville Ave,2018-2022,W Wabansia Ave And N Narragansett Ave,W Wabansia Ave And N Nashville Ave,"[41.910967, -87.785024]","[41.9108877, -87.7899341]"
677,[170 -02] 38309,On W Waveland Ave From N Lotus Ave To N Long Ave,2018-2022,W Waveland Ave And N Lotus Ave,W Waveland Ave And N Long Ave,"[41.947764, -87.763112]","[41.9477781, -87.7618903]"
678,[170 -02] 38309,E 84th St And S Bennett Ave,2018-2022,E 84th St And S Bennett Ave,,"[41.742469, -87.578259]",
679,[170 -02] 38309,N Natoma Ave And W Argyle St,2018-2022,N Natoma Ave And W Argyle St,,"[41.9719875, -87.792772]",
680,[170 -02] 38309,N Rutherford Ave And W Argyle St,2018-2022,N Rutherford Ave And W Argyle St,,"[41.9719815, -87.795217]",
681,[170 -02] 38309,S Bell Ave And W 91st St,2018-2022,S Bell Ave And W 91st St,,"[41.728342, -87.678584]",
682,[170 -02] 38309,S Claremont Ave And W 91st St,2018-2022,S Claremont Ave And W 91st St,,"[41.728262, -87.681064]",
683,[170 -02] 38309,S Eggleston Ave And W 105th St,2018-2022,S Eggleston Ave And W 105th St,,"[41.703395, -87.634229]",
684,[170 -02] 38309,S Oakley Ave And W 91st St,2018-2022,S Oakley Ave And W 91st St,,"[41.728295, -87.679813]",
685,[170 -02] 38309,On W 32nd St From S Racine Ave To S Throop St,2018-2022,W 32nd St And S Racine Ave,W 32nd St And S Throop St,"[41.836101, -87.655969]","[41.836065, -87.658375]"
686,[170 -02] 38309,On W Peterson Ave From N Melvina Ave To N Nagle Ave,2018-2022,W Peterson Ave And N Melvina Ave,W Peterson Ave And N Nagle Ave,"[41.9901698, -87.7827511]","[41.9901242, -87.7876022]"
687,[170 -02] 38309,On W 116th St From S Lafayette Ave To S State St,2018-2022,W 116th St And S Lafayette Ave,W 116th St And S State St,"[41.6825087, -87.6240368]","[41.682538, -87.622812]"
688,[170 -02] 38309,On N Sauganash Ave From W Peterson Ave To N Keeler Ave,2018-2022,N Sauganash Ave And W Peterson Ave,N Sauganash Ave And N Keeler Ave,"[41.9900706, -87.7330468]","[41.9906267, -87.7340204]"
689,[170 -02] 38309,On S Yale Ave From W 120th St To W 122nd St,2018-2022,S Yale Ave And W 120th St,S Yale Ave And W 122nd St,"[41.676133, -87.628601]","[41.67247, -87.628449]"
690,[170 -02] 38309,W Ainslie St And N Menard Ave,2018-2022,W Ainslie St And N Menard Ave,,"[41.969519, -87.773417]",
691,[170 -02] 38309,On N Campbell Ave From W Belle Plaine Ave To W Warner Ave,2018-2022,N Campbell Ave And W Belle Plaine Ave,N Campbell Ave And W Warner Ave,"[41.955828, -87.690971]","[41.956761, -87.690985]"
692,[170 -02] 38309,On N Hoyne Ave From W Argyle St To W Ainslie St,2018-2022,N Hoyne Ave And W Argyle St,N Hoyne Ave And W Ainslie St,"[41.97235, -87.681716]","[41.970524, -87.681657]"
693,[170 -02] 38309,On N Ionia Ave From W Fitch Ave To N Tonty Ave,2018-2022,N Ionia Ave And W Fitch Ave,N Ionia Ave And N Tonty Ave,"[42.0109843, -87.7764191]","[42.007385, -87.774485]"
694,[170 -02] 38309,On N Keeler Ave From W Ainslie St To W Argyle St,2018-2022,N Keeler Ave And W Ainslie St,N Keeler Ave And W Argyle St,"[41.970025, -87.732986]","[41.9718381, -87.7330845]"
695,[170 -02] 38309,On N Kennison Ave From N Kilbourn Ave To N Kolmar Ave,2018-2022,N Kennison Ave And N Kilbourn Ave,N Kennison Ave And N Kolmar Ave,"[41.9719946, -87.7405291]","[41.9728957, -87.7420977]"
696,[170 -02] 38309,On N Kostner Ave From W Foster Ave To W Carmen Ave,2018-2022,N Kostner Ave And W Foster Ave,N Kostner Ave And W Carmen Ave,"[41.9753869, -87.7380763]","[41.9736129, -87.7380627]"
697,[170 -02] 38309,On N Laramie Ave From W Diversey Ave To W Nelson St,2018-2022,N Laramie Ave And W Diversey Ave,N Laramie Ave And W Nelson St,"[41.931413, -87.75639]","[41.935978, -87.756589]"
698,[170 -02] 38309,On N Leavitt St From W Armitage Ave To W Moffat St,2018-2022,N Leavitt St And W Armitage Ave,N Leavitt St And W Moffat St,"[41.917671, -87.682488]","[41.9153815, -87.6824533]"
699,[170 -02] 38309,On N Leclaire Ave From W Parker Ave To W Montana St,2018-2022,N Leclaire Ave And W Parker Ave,N Leclaire Ave And W Montana St,"[41.930524, -87.753933]","[41.925088, -87.753707]"
700,[170 -02] 38309,On N Lotus Ave From W Bloomingdale Ave To W Cortland St,2018-2022,N Lotus Ave And W Bloomingdale Ave,N Lotus Ave And W Cortland St,"[41.9130913, -87.7619081]","[41.914404, -87.7619631]"
701,[170 -02] 38309,On W 106th St From S Green St To S Peoria St,2018-2022,W 106th St And S Green St,W 106th St And S Peoria St,"[41.701443, -87.643888]","[41.701431, -87.645101]"
702,[170 -02] 38309,On N Melvina Ave From N Milwaukee Ave To W Peterson Ave,2018-2022,N Melvina Ave And N Milwaukee Ave,N Melvina Ave And W Peterson Ave,"[41.992295, -87.782888]","[41.9901698, -87.7827511]"
703,[170 -02] 38309,On N Ottawa Ave From W Touhy Ave To W Chase Ave,2018-2022,N Ottawa Ave And W Touhy Ave,N Ottawa Ave And W Chase Ave,"[42.011419, -87.817593]","[42.013273, -87.817587]"
704,[170 -02] 38309,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,2018-2022,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave,"[42.0032805658152, -87.7118958227386]","[41.966649, -87.710889]"
705,[170 -02] 38309,On S Cregier Ave From E 83rd Pl To E 86th St,2018-2022,S Cregier Ave And E 83rd Pl,S Cregier Ave And E 86th St,"[41.743356, -87.58071]","[41.7387842, -87.580589]"
706,[170 -02] 38309,On S Green St From W 106th St To W 107th St,2018-2022,S Green St And W 106th St,S Green St And W 107th St,"[41.701443, -87.643888]","[41.699629, -87.643833]"
707,[170 -02] 38309,On S Harvard Ave From W 120th St To W 122nd St,2018-2022,S Harvard Ave And W 120th St,S Harvard Ave And W 122nd St,"[41.676118, -87.631033]","[41.672437, -87.630898]"
708,[170 -02] 38309,On S Hoyne Ave From W 101st St To W 102nd St,2018-2022,S Hoyne Ave And W 101st St,S Hoyne Ave And W 102nd St,"[41.7101522, -87.6744814]","[41.708294, -87.675248]"
709,[170 -02] 38309,On S Lawndale Ave From W 61st St To W 63rd St,2018-2022,S Lawndale Ave And W 61st St,S Lawndale Ave And W 63rd St,"[41.782383, -87.715509]","[41.778768, -87.715402]"
710,[170 -02] 38309,On S Oakley Ave From W 101st St To W 102nd St,2018-2022,S Oakley Ave And W 101st St,S Oakley Ave And W 102nd St,"[41.7100361, -87.6801033]","[41.708223, -87.6800533]"
711,[170 -02] 38309,On S Princeton Ave From W 120th St To W 122nd St,2018-2022,S Princeton Ave And W 120th St,S Princeton Ave And W 122nd St,"[41.676122, -87.629843]","[41.672486, -87.629723]"
712,[170 -02] 38309,On S St Louis Ave From W 83rd Pl To W 85th St,2018-2022,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St,"[41.7414764, -87.70948]","[41.7387565, -87.7093861]"
713,[170 -02] 38309,On S Wabash Ave From E Marquette Rd To E 66th Pl,2018-2022,S Wabash Ave And E Marquette Rd,S Wabash Ave And E 66th Pl,"[41.7728084, -87.6234821]","[41.774061, -87.623975]"
714,[170 -02] 38309,On N Monticello Ave From W Ohio St To W Ferdinand St,2018-2022,N Monticello Ave And W Ohio St,N Monticello Ave And W Ferdinand St,"[41.8917758, -87.7174368]","[41.88995, -87.717398]"
715,[170 -02] 38309,W Maypole Ave And N Hamlin Blvd,2018-2022,W Maypole Ave And N Hamlin Blvd,,"[41.884098, -87.720868]",
716,[170 -02] 38309,W Pensacola Ave And N Campbell Ave,2018-2022,W Pensacola Ave And N Campbell Ave,,"[41.960394, -87.691773]",
717,[170 -02] 38309,W Washington Blvd And N Pulaski Rd,2018-2022,W Washington Blvd And N Pulaski Rd,,"[41.881962, -87.725665]",
718,[170 -02] 39030,N Cicero Ave And W Lawrence Ave,2018-2022,N Cicero Ave And W Lawrence Ave,,"[41.968033, -87.7477398]",
719,[170 -02] 39561,On E 96th St From S Houston Ave To S Marquette Ave,2018-2022,E 96th St And S Houston Ave,E 96th St And S Marquette Ave,"[41.720949, -87.549677]","[41.720853, -87.55798]"
720,[170 -02] 39567,On N Northwest Hwy From N Oshkosh Ave To N Ozark Ave,2018-2022,N Northwest Hwy And N Oshkosh Ave,N Northwest Hwy And N Ozark Ave,"[42.003461, -87.817251]","[42.005239, -87.820042]"
721,[170 -02] 39567,On N Ozark Ave From N Northwest Hwy To N Olmsted Ave,2018-2022,N Ozark Ave And N Northwest Hwy,N Ozark Ave And N Olmsted Ave,"[42.005239, -87.820042]","[42.004355, -87.820983]"
722,[170 -02] 39567,On N Olympia Ave From N Oketo Ave To N Northwest Hwy,2018-2022,N Olympia Ave And N Oketo Ave,N Olympia Ave And N Northwest Hwy,"[42.0040192, -87.8115569]","[42.0016132, -87.8143258]"
723,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2018-2022,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave,"[42.0042105, -87.8145861]","[42.0046664002569, -87.7091167000092]"
724,[170 -02] 39568,On S Normal Ave From W 35th St To W Pershing Rd,2018-2022,S Normal Ave And W 35th St,S Normal Ave And W Pershing Rd,"[41.830874, -87.638813]","[41.823626, -87.638618]"
725,[170 -02] 39568,On W 37th St From S Parnell Ave To S Normal Ave,2018-2022,W 37th St And S Parnell Ave,W 37th St And S Normal Ave,"[41.8272, -87.6399273]","[41.827212, -87.6387042]"
726,[170 -02] 39575,W Lawrence Ave And N Cicero Ave,2018-2022,W Lawrence Ave And N Cicero Ave,,"[41.968033, -87.7477398]",
727,[170 -02] 40123,On N Leamington Ave From W Ferdinand St To W Ohio St,2018-2022,N Leamington Ave And W Ferdinand St,N Leamington Ave And W Ohio St,"[41.889344, -87.754162]","[41.891345, -87.754243]"
728,[170 -02] 40131,On S Troy St From W Jackson Blvd To W Fifth Ave,2018-2022,S Troy St And W Jackson Blvd,S Troy St And W Fifth Ave,"[41.877358, -87.704825]","[41.87867, -87.705065]"
729,[170 -02] 40131,On W Jackson Blvd From S Kedzie Ave To S Albany Ave,2018-2022,W Jackson Blvd And S Kedzie Ave,W Jackson Blvd And S Albany Ave,"[41.877346, -87.70604]","[41.877366, -87.703584]"
730,[170 -02] 40131,On W Fifth Ave From S Troy St To S Albany Ave,2018-2022,W Fifth Ave And S Troy St,W Fifth Ave And S Albany Ave,"[41.87867, -87.705065]","[41.878998, -87.703838]"
731,[170 -02] 40133,On N Paulina St From W Farragut Ave To W Berwyn Ave,2018-2022,N Paulina St And W Farragut Ave,N Paulina St And W Berwyn Ave,"[41.977009, -87.672105]","[41.9779685, -87.6721169]"
732,[170 -02] 40133,On W Farragut Ave From N Ravenswood Ave To N Paulina St,2018-2022,W Farragut Ave And N Ravenswood Ave,W Farragut Ave And N Paulina St,"[41.977038, -87.675055]","[41.977009, -87.672105]"
733,[170 -02] 40133,W Berwyn Ave And N Paulina St,2018-2022,W Berwyn Ave And N Paulina St,,"[41.9779685, -87.6721169]",
734,[170 -02] 40133,On N Ravenswood Ave From W Balmoral Ave To W Farragut Ave,2018-2022,N Ravenswood Ave And W Balmoral Ave,N Ravenswood Ave And W Farragut Ave,"[41.9797461, -87.6744975]","[41.977038, -87.675055]"
735,[170 -02] 40133,On W Winona St From N Winchester Ave To N Wolcott Ave,2018-2022,W Winona St And N Winchester Ave,W Winona St And N Wolcott Ave,"[41.974725, -87.67784]","[41.974756, -87.676411]"
736,[170 -02] 40413,E 95th St And S Torrence Ave,2018-2022,E 95th St And S Torrence Ave,,"[41.72255115, -87.55989654999999]",
737,[170 -02] 40566,Ashe Cps - 8505 S Ingleside Ave,2018-2022,8505 S Ingleside Ave,,"[41.739684, -87.600921]",
738,[170 -02] 40566,Cook Cps - 8150 S Bishop St,2018-2022,8150 S Bishop St,,"[41.745817, -87.659987]",
739,[170 -02] 40566,Davis N Cps - 3014 W 39th Pl,2018-2022,3014 W 39th Pl,,"[41.822182, -87.700325]",
740,[170 -02] 40566,Field Cps - 7019 N Ashland Blvd,2018-2022,7019 N Ashland Blvd,,"[42.009579, -87.669164]",
741,[170 -02] 40566,Gunsaulus Cps - 4420 S Sacramento Ave,2018-2022,4420 S Sacramento Ave,,"[41.812657, -87.699923]",
742,[170 -02] 40566,Leland Cps - 5221 W Congress Pkwy,2018-2022,5221 W Congress Pkwy,,"[41.8740797, -87.7556493]",
743,[170 -02] 40566,Morton Cps - 431 N Troy St,2018-2022,431 N Troy St,,"[41.88911, -87.704767]",
744,[170 -02] 40566,Orozco Cps - 1940 W 18th St,2018-2022,1940 W 18th St,,"[41.857974, -87.675315]",
745,[170 -02] 40566,Wadsworth Cps - 6420 S University Ave,2018-2022,6420 S University Ave,,"[41.7782573, -87.5982501]",
746,[170 -02] 40566,Westcott Cps - 409 W 80th St,2018-2022,409 W 80th St,,"[41.748682, -87.635511]",
747,[170 -02] 40566,Cather Cps - 2908 W Washington Blvd,2018-2022,2908 W Washington Blvd,,"[41.883334, -87.699704]",
748,[170 -02] 40566,Corkery Cps - 2510 S Kildare Ave,2018-2022,2510 S Kildare Ave,,"[41.845526, -87.732136]",
749,[170 -02] 40566,Fernwood Cps - 10041 S Union Ave,2018-2022,10041 S Union Ave,,"[41.711018, -87.640224]",
750,[170 -02] 40566,Grissom Cps - 12810 S Escanaba Ave,2018-2022,12810 S Escanaba Ave,,"[41.662444, -87.553587]",
751,[170 -02] 40566,Heroes Cps - 8344 S Commercial Ave,2018-2022,8344 S Commercial Ave,,"[41.744161, -87.553038]",
752,[170 -02] 40566,Morrill Cps - 6011 S Rockwell St,2018-2022,6011 S Rockwell St,,"[41.784037, -87.6883]",
753,[170 -02] 40566,Nash Cps - 4837 W Erie St,2018-2022,4837 W Erie St,,"[41.891799, -87.747106]",
754,[170 -02] 40566,Schmid Cps - 9755 S Greenwood Ave,2018-2022,9755 S Greenwood Ave,,"[41.7171145, -87.5965846]",
755,[170 -02] 40566,Webster Cps - 4055 W Arthington St,2018-2022,4055 W Arthington St,,"[41.869749, -87.727279]",
756,[170 -02] 40700,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee,2018-2022,N Hiawatha Ave And W Peterson Ave,N Hiawatha Ave And N Forest Glen Avee,"[41.990087200000005, -87.7420321]","[41.9902461, -87.742291]"
757,[170 -02] 40700,On N Monitor Ave From N Indian Rd To W Peterson Ave,2018-2022,N Monitor Ave And N Indian Rd,N Monitor Ave And W Peterson Ave,"[41.9920448, -87.7741925]","[41.9901988, -87.7742376]"
758,[170 -02] 40700,On N Oriole Ave From W Jarvis Ave To W Birchwood Ave,2018-2022,N Oriole Ave And W Jarvis Ave,N Oriole Ave And W Birchwood Ave,"[42.015095, -87.8163764]","[42.016936, -87.816354]"
759,[170 -02] 40700,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave,2018-2022,N Overhill Ave And W Jarvis Ave,N Overhill Ave And W Sherwin Ave,"[42.0150532, -87.8187831]","[42.0141385, -87.8188146]"
760,[170 -02] 40700,On W Devon Ave From N Spokane Ave To N Caldwell Ave,2018-2022,W Devon Ave And N Spokane Ave,W Devon Ave And N Caldwell Ave,"[41.997336, -87.760727]","[41.997316, -87.766935]"
761,[170 -02] 40700,On W Peterson Ave From N Monitor Ave To N Austin Ave,2018-2022,W Peterson Ave And N Monitor Ave,W Peterson Ave And N Austin Ave,"[41.9901988, -87.7742376]","[41.9901834, -87.7779227]"
762,[170 -02] 40700,On N Leoti Ave From N Le Mai Ave To N Spokane Ave,2018-2022,N Leoti Ave And N Le Mai Ave,N Leoti Ave And N Spokane Ave,"[41.9954399, -87.7580216]","[41.9968845, -87.7611487]"
763,[170 -02] 40700,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave,2018-2022,N Octavia Ave And W Jarvis Ave,N Octavia Ave And W Birchwood Ave,"[42.0152903, -87.8090486]","[42.017087, -87.809024]"
764,[170 -02] 40700,On N Ottawa Ave From W Jarvis Ave To W Chase Ave,2018-2022,N Ottawa Ave And W Jarvis Ave,N Ottawa Ave And W Chase Ave,"[42.0150712, -87.8175616]","[42.013273, -87.817587]"
765,[170 -02] 40700,On N Spokane Ave From N Leoti Ave To W Devon Ave,2018-2022,N Spokane Ave And N Leoti Ave,N Spokane Ave And W Devon Ave,"[41.9968845, -87.7611487]","[41.997336, -87.760727]"
766,[170 -02] 40700,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,2018-2022,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave,"[42.0160414000167, -87.6692769000023]","[42.0150532, -87.8187831]"
767,[170 -02] 40700,W Peterson Ave And N Kilbourn Ave,2018-2022,W Peterson Ave And N Kilbourn Ave,,"[41.9899364, -87.7408]",
768,[170 -02] 40717,On S Damen Ave From W 100th St To W 101st St,2018-2022,S Damen Ave And W 100th St,S Damen Ave And W 101st St,"[41.7120138, -87.6721251]","[41.710202, -87.6720715]"
769,[170 -02] 40717,On S Seeley Ave From W 101st St To W 101st Pl,2018-2022,S Seeley Ave And W 101st St,S Seeley Ave And W 101st Pl,"[41.7101644, -87.6736224]","[41.7090229, -87.6737223]"
770,[170 -02] 40717,On W 116th St From S Western Ave To S Maplewood Ave,2018-2022,W 116th St And S Western Ave,W 116th St And S Maplewood Ave,"[41.682726, -87.680803]","[41.6826856, -87.684571]"
771,[170 -02] 40717,S Seeley Ave And W 101st St,2018-2022,S Seeley Ave And W 101st St,,"[41.7101644, -87.6736224]",
772,[170 -02] 40717,On S Leavitt St From W 101st St To W 102nd St,2018-2022,S Leavitt St And W 101st St,S Leavitt St And W 102nd St,"[41.7100922, -87.6768799]","[41.708256, -87.676869]"
773,[170 -02] 40717,On W 101st St From S Damen Ave To S Bell Ave,2018-2022,W 101st St And S Damen Ave,W 101st St And S Bell Ave,"[41.710202, -87.6720715]","[41.7100561, -87.6785154]"
774,[170 -02] 40717,On W 118th St From S Western Ave To S Maplewood Ave,2018-2022,W 118th St And S Western Ave,W 118th St And S Maplewood Ave,"[41.678958, -87.680693]","[41.6790503, -87.6844434]"
775,[170 -02] 40718,On E 61st St From S Langley Ave To S Rhodes Ave,2018-2022,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave,"[41.784003, -87.608487]","[41.7839396, -87.612074]"
776,[170 -02] 40718,On E 75th St From S Kingston Ave To S Phillips Ave,2018-2022,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]"
777,[170 -02] 40718,On S Drexel Ave From E 65th St To E 64th St,2018-2022,S Drexel Ave And E 65th St,S Drexel Ave And E 64th St,"[41.776781, -87.603422]","[41.7786283, -87.602847]"
778,[170 -02] 40718,On S Kingston Ave From E 74th St To E 75th St,2018-2022,S Kingston Ave And E 74th St,S Kingston Ave And E 75th St,"[41.76086, -87.563224]","[41.759041, -87.56274]"
779,[170 -02] 40718,850-910 E 64th St,2018-2022,850 E 64th St,910 E 64th St,"[41.77867169366854, -87.60366619430624]","[41.77867477640572, -87.60308753185411]"
780,[170 -02] 40718,On E 72nd St From S Phillips Ave To S Exchange Ave,2018-2022,E 72nd St And S Phillips Ave,E 72nd St And S Exchange Ave,"[41.764439, -87.565772]","[41.764481, -87.565161]"
781,[170 -02] 40718,On S Colfax Ave From E 74th St To E 75th St,2018-2022,S Colfax Ave And E 74th St,S Colfax Ave And E 75th St,"[41.760847, -87.562493]","[41.7590531, -87.5615821]"
782,[170 -02] 40718,On S Ingleside Ave From E 65th St To E 64th St,2018-2022,S Ingleside Ave And E 65th St,S Ingleside Ave And E 64th St,"[41.776809, -87.601612]","[41.88322830200195, -87.63240051269531]"
783,[170 -02] 40718,On S Phillips Ave From E 73rd St To E 72nd St,2018-2022,S Phillips Ave And E 73rd St,S Phillips Ave And E 72nd St,"[41.762641, -87.564909]","[41.764439, -87.565772]"
784,[170 -02] 40773,On N Allen Ave From N Kimball Ave To N Milwaukee Ave,2018-2022,N Allen Ave And N Kimball Ave,N Allen Ave And N Milwaukee Ave,"[41.936658, -87.712395]","[41.9339097, -87.7152885]"
785,[170 -02] 40773,On N Elbridge Ave From W Barry Ave To N Drake Ave,2018-2022,N Elbridge Ave And W Barry Ave,N Elbridge Ave And N Drake Ave,"[41.9374432, -87.7145293]","[41.9363659, -87.7157343]"
786,[170 -02] 40773,On W Barry Ave From N Bernard St To N Elbridge Ave,2018-2022,W Barry Ave And N Bernard St,W Barry Ave And N Elbridge Ave,"[41.937466, -87.713664]","[41.9374432, -87.7145293]"
787,[170 -02] 40773,On W Barry Ave From N Elbridge Ave To N Drake Ave,2018-2022,W Barry Ave And N Elbridge Ave,W Barry Ave And N Drake Ave,"[41.9374432, -87.7145293]","[41.937429, -87.716124]"
788,[170 -02] 40773,N Lavergne Ave And W Cornelia Ave,2018-2022,N Lavergne Ave And W Cornelia Ave,,"[41.9442274, -87.7519564]",
789,[170 -02] 40773,On N Bernard St From W Belmont Ave To W Barry Ave,2018-2022,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave,"[41.939265, -87.713737]","[41.937466, -87.713664]"
790,[170 -02] 40773,On N Kilbourn Ave From W Diversey Ave To W Parker Ave,2018-2022,N Kilbourn Ave And W Diversey Ave,N Kilbourn Ave And W Parker Ave,"[41.931657, -87.739232]","[41.930639, -87.739201]"
791,[170 -02] 40773,On W Barry Ave From N Bernard St To N Gresham Ave,2018-2022,W Barry Ave And N Bernard St,W Barry Ave And N Gresham Ave,"[41.937466, -87.713664]","[41.937471, -87.712972]"
792,[170 -02] 40773,On W Eddy St From W Cornelia Ave To W Newport Ave,2018-2022,W Eddy St And W Cornelia Ave,W Eddy St And W Newport Ave,"[41.88322830200195, -87.63240051269531]","[41.88322830200195, -87.63240051269531]"
793,[170 -02] 40774,On E 92nd St From S Cottage Grove Ave To S St Lawrence Ave,2018-2022,E 92nd St And S Cottage Grove Ave,E 92nd St And S St Lawrence Ave,"[41.727528, -87.604529]","[41.7274443, -87.6094247]"
794,[170 -02] 40774,On E 96th St From S Avalon Ave To S Woodlawn Ave,2018-2022,E 96th St And S Avalon Ave,E 96th St And S Woodlawn Ave,"[41.720361, -87.593497]","[41.720347, -87.594743]"
795,[170 -02] 40774,E 92nd St And S St Lawrence Ave,2018-2022,E 92nd St And S St Lawrence Ave,,"[41.7274443, -87.6094247]",
796,[170 -02] 40774,On E 94th St From S Dr Martin Luther King Jr Dr To S Wabash Ave,2018-2022,E 94th St And S Dr Martin Luther King Jr Dr,E 94th St And S Wabash Ave,"[41.723716, -87.614201]","[41.723573, -87.62227]"
797,[170 -02] 40774,On S Avalon Ave From E 97th St To E 96th St,2018-2022,S Avalon Ave And E 97th St,S Avalon Ave And E 96th St,"[41.718661, -87.593441]","[41.720361, -87.593497]"
798,[170 -02] 40774,E 95th St And S Cottage Grove Ave,2018-2022,E 95th St And S Cottage Grove Ave,,"[41.722017, -87.603243]",
